,MJD,Dec. (micas),Err. Dec. (micas)
0,47165.332,4937.698813023,1015.9
1,47610.794,7737.098411553,1641.5
2,47620.337999999996,-460.799986968,1190.7
4,47655.329000000005,2641.701590278,904.1
5,47678.905999999995,-1096.700407288,22298.7
6,47681.247,2351.300415171,581.2
7,47682.35400000001,1562.101206787,783.5999999999999
8,47705.314000000006,-6442.401607387001,1537.0
9,47710.34,420.199197038,674.8
10,47717.29,-1504.501202021,371.40000000000003
11,47726.246,1464.299990062,655.6999999999999
12,47731.053,2149.4988061480003,1344.8
13,47743.205,2217.898799017,682.5
14,47746.054000000004,-6365.599196556,883.6
15,47756.252,-2541.600005657,1576.5
16,47763.157999999996,-299.800785797,987.5
17,47770.335999999996,-4586.500804749,832.5
18,47777.232,-922.1003864470001,789.2
19,47780.310999999994,3341.800794487,609.1999999999999
20,47787.258,10700.398800623,6381.599999999999
21,47797.258,-1173.301200197,769.4
22,47805.352,-1593.2988048920001,640.7
23,47811.36,520.40159062,607.0
24,47816.324,10702.598410717,2305.2000000000003
25,47822.314000000006,699.598791698,1063.3
26,47823.18,-1365.5988084340001,1114.2
27,47830.343,1886.7996061539998,1518.2
28,47840.328,-487.699199425,1067.9
29,47850.219000000005,-1002.0996001,888.7
30,47852.239,-2227.701594393,987.1999999999999
31,47865.352,44.499597607000005,702.3000000000001
32,47878.095,1178.6004108670002,767.5
33,47880.29,-756.1007947740001,285.0
34,47882.453,387.000000046,500.2
35,47888.151,8045.301589732,1018.5999999999999
36,47894.254,-692.499600063,253.2
37,47899.258,1939.298411457,356.3
38,47902.425,2447.200790812,501.70000000000005
39,47904.262,674.200791195,259.90000000000003
40,47909.233,1019.498392907,840.0
41,47909.251,-218.001591179,249.29999999999998
42,47914.251,264.30119533000004,274.5
43,47915.310999999994,-5643.1008090390005,1324.8999999999999
44,47916.352,4743.201594692001,1072.6
45,47918.174000000006,260.100011928,929.2
46,47919.248,1010.800812651,252.3
47,47921.096,1098.201593663,357.4
48,47923.083,1281.6000037219999,957.7
49,47924.248,1697.601598494,392.90000000000003
50,47929.249,203.299214263,277.7
51,47930.33,2533.701606922,518.4
52,47934.253,1233.698404235,309.59999999999997
53,47935.272000000004,445.899598844,335.8
54,47936.21,-23.799586301999998,570.3000000000001
55,47937.083,130.399192244,445.0
56,47939.255999999994,-3358.101585604,275.2
57,47940.25,1877.5008044260003,541.6999999999999
58,47941.189000000006,-247.79878629,573.9
59,47942.124,28.501207794,962.8
60,47943.183,-361.69920178999996,472.4
61,47944.249,-1468.7999936309998,335.9
62,47949.246,-1990.59840611,409.9
63,47951.083,-256.89960239100003,400.8
64,47954.25,1259.600398384,306.09999999999997
65,47958.1,-3410.9999944580004,747.4
66,47959.25,-1824.40080323,281.5
67,47964.247,1611.100807963,286.1
68,47965.291,1064.401200779,910.5999999999999
69,47969.251,-197.30160545400003,768.9
70,47972.1,-477.201587046,1305.0
71,47974.247,215.10000181000004,266.29999999999995
72,47978.167,-3242.901601652,224.6
73,47979.248,566.099998878,563.8
74,47979.251,-3481.49878846,467.7
75,47984.248,1075.600792433,296.3
76,47986.070999999996,-1054.7999977460001,652.0
77,47989.248,198.799210693,432.09999999999997
78,47993.083,113.000399438,397.7
79,47994.252,130.20120661599998,289.4
80,47995.34099999999,-954.5004019169999,355.7
81,47998.164000000004,-3436.0992003710003,547.6
82,47999.249,3446.200790336,259.90000000000003
83,48000.067,280.598405311,527.9000000000001
84,48004.249,-1361.498408414,331.7
85,48005.337,447.30000183799996,251.0
86,48007.083,-216.799199393,363.9
87,48009.246,-2546.100009226,335.6
88,48013.16099999999,-2778.598803843,682.1
89,48014.25,83.99880471200001,286.7
90,48018.169,-1261.0008013779998,600.1
91,48019.25,-381.301185826,328.40000000000003
92,48020.337999999996,-885.599996536,671.6999999999999
93,48024.25,-2471.601598586,361.09999999999997
94,48027.255999999994,82.59840171799999,778.0
95,48029.25,3.898807677,315.0
96,48033.172999999995,632.7000107829999,224.89999999999998
97,48034.247,-388.80000659,556.8
98,48034.254,-48.301203037,244.9
99,48036.333,36.298797568000005,366.9
100,48039.247,-2521.2995979019997,329.2
101,48041.27099999999,2001.4992031749998,742.1999999999999
102,48044.251,3456.399608126,300.8
103,48047.246,-4364.099993381,1181.2
104,48049.251,-892.7999971319999,439.3
105,48054.248,2347.498809741,320.6
106,48055.318,-464.10120546599995,551.0
107,48059.252,-500.198385112,294.0
108,48064.252,-487.000801286,305.09999999999997
109,48065.333,60.501594135,448.29999999999995
110,48068.164000000004,-755.39878992,242.0
111,48069.234000000004,205.599607739,749.9
112,48069.253,689.799603037,251.9
113,48071.22900000001,-399.59999469400003,628.1
114,48072.503,-1898.6003937020002,196079.3
115,48072.503,759.099611969,1756.2
116,48074.249,2966.799593196,255.9
117,48078.168,1265.198403644,1119.2
118,48079.249,-1111.600795412,245.7
119,48082.248,2933.600396204,924.5
120,48084.246,3094.1999938249996,250.2
121,48089.246,6511.701590739,388.90000000000003
122,48090.364,-8671.899601609,708.0
123,48093.165,491.698790483,574.1
124,48094.25,-430.89840176,300.20000000000005
125,48097.245,159.001208999,687.0
126,48099.247,-1774.501185992,284.4
127,48104.251,10632.499194685,646.1
128,48104.265,-7486.898397246,986.8
130,48114.251,421.199996481,551.2
131,48115.333,-4087.299586786,1508.5
132,48118.247,522.0000048210001,698.0
133,48119.248,-1547.499587673,532.3
134,48124.252,-4987.598404682,1068.2
135,48126.246,-10394.099993505,6386.0
136,48129.249,-2261.199585973,1225.4
138,48134.245,-2129.000387185,534.4
139,48139.255999999994,-5941.000804910001,507.4
140,48143.165,-329.601587623,705.9
141,48144.253,2447.49961098,523.4
142,48145.334,2541.4991966949997,1618.9
143,48146.415,-6148.198801269999,523.8000000000001
144,48149.25,2358.2987978439996,455.1
145,48154.254,3793.298398591,731.1999999999999
146,48155.346,-1882.1987936239998,974.3000000000001
147,48159.247,-1980.9000008309997,326.0
148,48160.346,-2120.400009176,586.4
149,48164.247,794.8007947790001,317.7
150,48167.242,-150.598791038,788.8
151,48169.247,629.798395835,566.3000000000001
152,48169.251,251.49960833900005,410.1
153,48170.33900000001,-265.701598323,379.8
154,48174.258,56.401194115,341.0
155,48176.420999999995,-309.700808998,528.4
156,48179.251,-2983.8995914130005,324.2
157,48181.275,3994.898389692,770.7
158,48183.15900000001,-2346.5015914329997,264.1
159,48184.252,204.30001370600002,321.5
160,48187.254,300.099605965,529.9000000000001
161,48189.248,157.60080600600003,298.4
162,48194.248,-1311.098404244,293.2
163,48196.403,-2351.1996062099997,682.6999999999999
164,48199.249,-2715.0011902679994,318.7
166,48204.245,610.300801895,337.1
167,48204.253,1369.101593696,635.8000000000001
168,48209.249,-16.999189256,308.0
169,48210.316,-1146.398406604,745.8000000000001
170,48213.168,-5621.000394739999,574.3000000000001
171,48214.25,487.000801286,363.0
172,48216.247,722.5991964789999,588.6
173,48219.246,-383.10119236900005,285.5
174,48222.077000000005,241.700394099,226.20000000000002
175,48224.25,-1654.4987971659998,331.7
176,48229.258,-2826.90000688,579.6
177,48231.248,-1310.6988006939998,840.9
178,48234.254,-1128.3011900790002,354.7
179,48236.252,-852.5016085060001,207.8
180,48237.333,514.198808332,821.1
181,48239.251,276.998392224,328.6
182,48243.17,471.49919169,472.0
183,48244.251,-238.201189973,350.9
184,48244.251,463.100406023,584.4
185,48248.517,1613.3003924779998,494.3
186,48254.252,640.8000018609999,332.4
187,48259.248,601.8984095139999,505.09999999999997
188,48260.350999999995,1100.699998346,965.0
189,48264.249,-689.500808448,423.5
190,48265.352,-608.1983940480001,1054.2
191,48267.167,294.300008363,694.6999999999999
192,48269.253,750.099604829,1340.3
193,48272.328,1147.399206047,675.2
194,48273.168,1285.700403741,490.4
195,48274.249,-70.599602964,439.09999999999997
196,48279.249,-270.39958752099994,388.40000000000003
197,48280.345,4139.398814118001,896.9
198,48284.253,448.999199421,459.9
199,48285.334,1677.8016032499997,846.9
200,48289.242999999995,20.498393383,1225.7
201,48294.25,54.90000774,456.8
202,48295.342000000004,-100.10161020099999,652.1
203,48299.247,-825.6995982950001,360.59999999999997
204,48301.40900000001,118.299610108,673.6
205,48301.416,330.300011342,316.90000000000003
206,48304.258,-788.6987958730001,1331.3
207,48307.27099999999,3054.700812299,474.2
208,48309.247,-250.700401239,433.8
209,48312.246,572.500792373,480.0
210,48314.248,-96.09838684800002,435.59999999999997
211,48315.332,165.801606045,720.5
212,48319.248,376.099202981,720.1999999999999
213,48324.252,-347.900396491,414.5
214,48329.252,343.598404129,465.1
215,48331.414000000004,262.80000895399996,714.0999999999999
216,48334.249,425.098804158,516.4
217,48336.415,-4038.8003981210004,641.5
218,48339.249,8.899198177999999,512.7
219,48341.167,11.300400615000001,375.09999999999997
220,48344.249,199.10161199700002,600.5
221,48348.165,4371.998392116,639.0
222,48349.253,-618.400792973,739.6
223,48349.261,1304.099995991,847.5
224,48350.364,531.601207854,747.4
225,48354.25,-657.500396528,486.4
226,48356.259000000005,5291.398807117,835.4
227,48359.25,-30.80160127,543.3
228,48362.285,-2798.30159684,723.9
229,48364.242999999995,-792.601210264,466.7
230,48368.831,-486.50038877400004,539.1
231,48370.335,-59.299202348,380.09999999999997
232,48372.363,1285.700403741,827.8
233,48375.832,-407.001587632,484.8
234,48379.346,-297.79918691,823.2
235,48382.834,-355.29840829400007,484.70000000000005
236,48384.164000000004,143.09999585300002,441.09999999999997
237,48384.27,721.800014958,735.0
238,48386.268,2789.499600908,672.6999999999999
239,48389.832,-855.5004001209999,523.2
240,48390.914000000004,301.39919999800003,474.9
241,48393.251,385.89839164200004,636.5
242,48396.834,-202.201186994,490.3
243,48400.257000000005,-552.70079713,463.9
244,48403.833,-1112.698797101,568.3000000000001
245,48407.357,925.599590573,844.5
246,48410.834,564.098399991,487.8
247,48414.27099999999,3182.9003944489996,483.4
248,48417.833,2352.8988037920003,392.29999999999995
249,48419.169,2040.8003990720003,434.2
250,48421.262,1277.600412664,434.0
251,48424.834,1816.8984013299998,448.1
252,48428.257000000005,-410.198390455,448.90000000000003
253,48431.833,1601.999991863,453.7
254,48433.172999999995,-533.0987875139999,1024.2
