%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
49184.423    0.775043617431    6.343898399996    0.4829    1.3129  -0.180   16
50071.250    0.522444888218   -4.768999200144    1.3726    7.5037  -0.899    3
50085.250    0.717292980270    0.592801199928    0.3624    0.7639   0.076    7
50162.252    0.054748265010    0.290498399935    0.4067    1.1662  -0.273    5
50168.169    0.448944405456   -1.222801200096    0.5186    1.4836  -0.054   13
50169.250   -0.060749405830    0.934300799926    0.2196    0.3998  -0.097   18
50198.335   -0.717591778330    1.495997999879    0.7614    0.7898  -0.216    9
50204.252    0.059399417328    0.220697999875    0.4631    0.6116   0.176    5
50205.333    0.000151199173    1.385398799880    0.3168    0.6484  -0.303   11
50218.252   -0.068849327247    0.239799599977    0.2550    0.6551  -0.059   15
50330.252    0.144297388236   -0.393501600104    0.3310    0.6675   0.021   13
50456.253    0.346946603644   -0.423799200133    0.5657    1.2519  -0.179    3
50458.831   -0.123748791430   -0.123300000010    0.1751    0.3043  -0.048  129
50526.253   -0.299697066842    1.048899599976    0.3147    0.8330   0.001   14
50533.251   -2.113028126682    7.353601199966    0.8170    3.4390  -0.373    3
50540.253   -0.105450167999   -0.590601600026    0.4114    0.8269   0.289    5
50560.082    0.041399595155   -1.698598800015    0.4502    1.1446   0.060   12
50575.751    0.314248123114    0.039700799848    0.1905    0.4081  -0.048   87
50673.251    0.300895856171    3.552998399892    0.4824    2.3811  -0.625    7
50778.253    0.145499774652   -0.176101200022    0.3096    1.0154  -0.114   13
50876.254   -0.135448674723    0.975398399850    0.3014    0.7220  -0.056    6
50890.254    0.641693720108   -0.275601600142    0.5493    0.9070  -0.139    7
50904.254    1.694082224753   -0.369201600092    0.5247    1.1602   0.103    7
51002.254   -0.121048817624    0.458499599887    0.3015    0.5411   0.098   12
51128.251   -0.323395637884    1.530601199984    0.5487    0.9506  -0.084    4
51169.166    0.231898930037   -1.091300400047    0.0751    0.1601  -0.052  140
51233.253    0.177449463086    1.716001199936    0.3915    0.9834  -0.086    3
51240.251    0.278698472803   -0.181198800164    0.3329    0.6906  -0.349    6
51254.251    0.164399591291   -0.379198800160    0.5208    0.8172  -0.110    3
51268.251    0.278396074458    0.657799199910    0.2657    0.6885  -0.165   11
51275.249    0.442046873653   -0.281599200158    0.4532    0.9070  -0.087    4
51380.251    0.286495995874   -3.123399600158    0.5068    2.3868  -0.525    7
51492.251   -0.283497227206   -0.073900800079    0.3750    0.9575  -0.306    6
55154.248    0.264896208627    0.177098399945    0.1335    0.3147  -0.138   41
55362.207    0.595192975402    3.301397999977    0.3174    1.2530   0.766   10
55425.209   -0.429896993127   -0.219200400031    0.3579    0.3254  -0.218   24
55442.269   -0.126297566063    1.398898799998    0.7093    2.8741  -0.236    4
55698.207    0.144747382272    2.008501199957    0.3036    1.3680   0.665   18
55741.230    0.015451047540   -0.051800400169    0.0985    0.3693  -0.395  155
55803.206   -0.325645614457   -0.260801999996    0.7472    0.2852   0.136   15
56050.210    0.281848440644   -0.035100000106    0.2611    0.4805   0.062   11
56118.208   -1.054040888294    0.437198399883    0.2973    0.2444  -0.216   45
56181.207   -0.379497488484    0.764297999889    0.2469    0.3788  -0.267   23
56275.270    0.501143895834    0.071099999888    0.2338    0.8353   0.040   31
56281.230    0.999591418147    1.493600399960    0.5957    2.0802   0.236   14
56301.228    0.070800505759    1.392800400013    1.2963    2.8480   0.169    7
56392.230    0.090150316434    0.000000000000    0.1884    0.4149  -0.101   13
56470.251   -0.037648430908   -0.381898799984    0.6335    0.3289   0.194   19
56533.253    0.083249184346   -0.587998800050    0.6601    0.7289  -0.157   13
56574.227   -0.059399420526   -0.156898800152    0.9559    1.3645  -0.072    7
56721.229   -6.973131773057  -27.368100000058    0.4300    0.6937  -0.190   28
56839.208   -9.096059800495   20.830100399949    3.9114   11.3953  -0.977    6
56903.207    0.085797958979   -0.241700400094    0.2744    0.2434  -0.052    9
56967.250   -5.093798961861  -14.109800400064    0.2428    0.2871  -0.162   32
57002.230   13.432069772090    7.026598800008    1.8301    1.8544   0.453    5
57218.232    0.153898494129    0.684601199930    0.3599    0.4616  -0.030   45
57360.833 -137.673604136767  437.869501199906   59.5574   61.3500  -0.734   17
57361.647   -7.721773248552 -276.770401200044   54.3490   49.5706  -0.278   22
57569.248    3.562913938786   -0.106902000052    0.3240    0.4335  -0.142   27
57750.207   -0.295348309672   -2.128302000037    1.4879    2.8429   0.398    5
57839.792   -0.286046001839   -0.145198799983    0.1888    0.3236   0.003   42
57872.197   -0.555445767093   -2.479701600056    0.5832    1.0739   0.796    6
57875.189    0.064950564112    0.096901199864    0.2751    0.4100  -0.391   25
57890.230   -4.040960463181    3.247199999890    1.2556    1.3240   0.070    7
57901.417   -0.778942380565    3.992000399844    0.1459    0.2816  -0.006   45
57914.628    0.688792060934   -0.368802000139    0.3967    0.7127  -0.669    4
57970.691    0.537593540611   -0.359600400057    0.1495    0.2951   0.113   45
58137.058   -2.275627735436   -9.231199200044    0.2521    0.4137  -0.288   35
58213.228    0.246748784369   -0.350600400112    0.6174    1.8228  -0.076   10
58258.146    1.109689141376    4.776098399972    0.2110    0.3483   0.091   64
58400.206   -1.557434760701    0.482799599899    1.2624    0.3547  -0.019    5
58440.833    0.169198342497    1.118800800004    0.1199    0.2285   0.150   90
58481.840   -2.054528697425   -0.731001600052    0.5696    0.9130   0.430    7
58510.833   -0.086550354557    0.126899999908    0.1210    0.2510  -0.048  133
58512.780   -1.073088300624    2.107799999940    0.1860    0.3761   0.148   99
58530.834   -1.125140192113   -0.033501600094    0.3663    0.4978  -0.578  100
58540.733    1.103238003323  -15.048201600010    0.1711    0.3295  -0.021   71
58551.686   -2.044329998608    0.830498399851    0.1899    0.3868  -0.173   98
58557.436   -1.874681658878   -0.611301600140    0.2000    0.4401  -0.279  119
58670.101   -2.197177302296    2.507799599982    0.3075    0.5134  -0.446   55
58673.209    3.388315645480    0.175798799917    0.3679    0.4386  -0.387   13
58677.683   -0.575695569037    2.450401199949    0.2507    0.5175  -0.416   76
58795.122   -2.021229023686    1.337698799930    0.1592    0.3268  -0.274  117
58803.501   -0.332247948484    0.586097999933    0.1527    0.3311  -0.238  106
58861.959   -0.438896905812    0.095900399821    0.2018    0.4520  -0.351   89
58871.905    0.000000000000   -1.083999600082    0.2008    0.3916  -0.076   88
58897.209   -0.130199926285    0.070300799981    0.4821    0.3307  -0.564    3
58899.905   -1.228037985194    0.697100400004    0.1571    0.3812  -0.282   38
59044.208    0.469795403805   -0.502599600138    0.2336    0.2713  -0.528   12
59102.228    0.219299052277    1.315501199972    0.4351    0.3963  -0.021   16
59107.206   -0.445045645519    0.077597999826    0.2503    0.2294   0.208   22
59177.188    1.185439600710   -0.412999200039    0.5845    0.6789  -0.167    9
59228.250   -1.373685358734   -0.133498800015    0.4430    0.3544   0.103    9
59271.737   -0.028799717396    0.841899599835    0.1130    0.2146  -0.140  107
59389.249   -1.322537061995   -0.714099600052    0.6075    0.8769  -0.017    9
59452.251   -1.776733816175   -2.983899600006    1.0929    1.6213   0.030    9
59464.041    3.122969442818  -11.286399600108    0.7983    4.2569  -0.467   51
59541.185    0.551543403674   -0.425800800019    1.1218    0.9888   0.071   10
59592.251    0.608095248309   -0.467200800047    0.3589    0.4787   0.152   13
59731.207   -0.252598729213   -0.260499600091    0.6495    0.4217   0.416   10
59738.208   -0.617545158227   -0.363999600062    0.9598    0.6304   0.420    4
59744.209   -0.627743857044    0.397299599819    0.4182    0.3577  -0.180   14
59752.208    0.753292627814    0.002897999840    0.4456    0.3150   0.389   12
59802.251    0.790642263859    3.359401199821    0.3064    1.9215   0.230    5
59970.248   -0.442795668947   -2.160900000137    1.1200    1.7024   0.059   12
60075.250    0.326246807665   -1.969300800031    0.9109    1.5415   0.212   25
60117.250    0.518996122317    0.199400399992    0.6123    0.5368   0.022   25
60173.250   -0.322945640651   -0.458398800118    0.4703    0.6702  -0.129    7
