   DATE        X           sigma  
 2000.0000   355.4724     0.0216 
 2000.0027   354.6007     0.0137 
 2000.0055   353.8658     0.0193 
 2000.0082   353.2612     0.0233 
 2000.0110   352.7694     0.0262 
 2000.0137   352.3602     0.0371 
 2000.0164   351.9474     0.0513 
 2000.0192   351.5229     0.0480 
 2000.0219   351.1208     0.0357 
 2000.0246   350.5856     0.0218 
 2000.0274   349.8973     0.0140 
 2000.0301   349.0673     0.0116 
 2000.0329   348.0911     0.0123 
 2000.0356   346.9710     0.0169 
 2000.0383   345.7713     0.0281 
 2000.0411   344.5965     0.0420 
 2000.0438   343.5190     0.0468 
 2000.0465   342.5318     0.0386 
 2000.0493   341.6146     0.0288 
 2000.0520   340.7731     0.0295 
 2000.0548   339.9422     0.0377 
 2000.0575   339.0254     0.0445 
 2000.0602   337.9808     0.0456 
 2000.0630   336.8263     0.0461 
 2000.0657   335.5766     0.0369 
 2000.0684   334.2734     0.0271 
 2000.0712   332.9856     0.0282 
 2000.0739   331.7760     0.0368 
 2000.0767   330.6913     0.0417 
 2000.0794   329.7611     0.0341 
 2000.0821   328.9938     0.0226 
 2000.0849   328.3290     0.0168 
 2000.0876   327.7119     0.0181 
 2000.0904   327.1754     0.0274 
 2000.0931   326.6815     0.0446 
 2000.0958   326.1392     0.0442 
 2000.0986   325.4984     0.0320 
 2000.1013   324.7202     0.0194 
 2000.1040   323.7529     0.0127 
 2000.1068   322.5989     0.0109 
 2000.1095   321.3593     0.0121 
 2000.1123   320.1653     0.0159 
 2000.1150   319.1061     0.0259 
 2000.1177   318.1806     0.0373 
 2000.1205   317.3630     0.0277 
 2000.1232   316.6455     0.0195 
 2000.1259   315.9992     0.0182 
 2000.1287   315.3146     0.0239 
 2000.1314   314.5642     0.0384 
 2000.1342   313.7545     0.0516 
 2000.1369   312.8282     0.0511 
 2000.1396   311.7197     0.0394 
 2000.1424   310.4585     0.0262 
 2000.1451   309.1400     0.0214 
 2000.1478   307.9109     0.0268 
 2000.1506   306.8798     0.0408 
 2000.1533   306.0515     0.0486 
 2000.1561   305.3537     0.0468 
 2000.1588   304.7053     0.0466 
 2000.1615   304.1332     0.0407 
 2000.1643   303.6123     0.0342 
 2000.1670   303.0057     0.0394 
 2000.1698   302.3851     0.0512 
 2000.1725   301.7084     0.0578 
 2000.1752   300.7617     0.0538 
 2000.1780   299.6538     0.0450 
 2000.1807   298.4103     0.0347 
 2000.1834   297.0843     0.0314 
 2000.1862   295.7143     0.0412 
 2000.1889   294.3356     0.0560 
 2000.1917   293.0405     0.0554 
 2000.1944   291.9236     0.0438 
 2000.1971   290.9291     0.0260 
 2000.1999   290.0650     0.0170 
 2000.2026   289.2930     0.0159 
 2000.2053   288.4774     0.0205 
 2000.2081   287.5991     0.0315 
 2000.2108   286.7056     0.0409 
 2000.2136   285.7867     0.0419 
 2000.2163   284.7777     0.0420 
 2000.2190   283.7152     0.0342 
 2000.2218   282.6524     0.0257 
 2000.2245   281.6304     0.0273 
 2000.2272   280.7100     0.0369 
 2000.2300   279.9424     0.0448 
 2000.2327   279.3413     0.0405 
 2000.2355   278.8784     0.0293 
 2000.2382   278.4896     0.0203 
 2000.2409   278.0996     0.0159 
 2000.2437   277.6552     0.0154 
 2000.2464   277.1111     0.0191 
 2000.2491   276.4225     0.0301 
 2000.2519   275.5515     0.0484 
 2000.2546   274.4845     0.0565 
 2000.2574   273.2549     0.0445 
 2000.2601   271.9396     0.0318 
 2000.2628   270.6365     0.0308 
 2000.2656   269.4223     0.0369 
 2000.2683   268.3381     0.0436 
 2000.2711   267.3888     0.0483 
 2000.2738   266.5522     0.0508 
 2000.2765   265.7721     0.0408 
 2000.2793   264.9588     0.0307 
 2000.2820   264.0104     0.0328 
 2000.2847   262.9036     0.0434 
 2000.2875   261.6670     0.0496 
 2000.2902   260.3107     0.0487 
 2000.2930   258.8453     0.0506 
 2000.2957   257.3913     0.0386 
 2000.2984   256.0355     0.0246 
 2000.3012   254.7726     0.0196 
 2000.3039   253.6019     0.0177 
 2000.3066   252.5464     0.0155 
 2000.3094   251.6335     0.0133 
 2000.3121   250.8712     0.0124 
 2000.3149   250.2263     0.0125 
 2000.3176   249.6210     0.0147 
 2000.3203   248.9431     0.0222 
 2000.3231   248.1367     0.0389 
 2000.3258   247.1831     0.0505 
 2000.3285   246.0596     0.0461 
