   DATE        X           sigma  
 2000.0000    43.2610     0.0840 
 2000.0027    43.5020     0.0800 
 2000.0055    43.6040     0.0780 
 2000.0082    43.4170     0.0770 
 2000.0110    43.1050     0.0760 
 2000.0137    43.0960     0.0770 
 2000.0164    43.4720     0.0790 
 2000.0192    43.7700     0.0790 
 2000.0219    43.7500     0.0780 
 2000.0246    43.5940     0.0780 
 2000.0274    43.7140     0.0800 
 2000.0301    44.1900     0.0820 
 2000.0329    45.1210     0.0840 
 2000.0356    46.4990     0.0860 
 2000.0383    47.6590     0.0830 
 2000.0411    48.5220     0.0820 
 2000.0438    49.4190     0.0840 
 2000.0465    50.6420     0.0840 
 2000.0493    51.9810     0.0830 
 2000.0520    53.1750     0.0850 
 2000.0548    54.2430     0.0870 
 2000.0575    55.1080     0.0870 
 2000.0602    55.7830     0.0870 
 2000.0630    56.2070     0.0870 
 2000.0657    56.4710     0.0840 
 2000.0684    56.6410     0.0810 
 2000.0712    56.9660     0.0830 
 2000.0739    57.3140     0.0870 
 2000.0767    57.2510     0.0920 
 2000.0794    57.0300     0.0920 
 2000.0821    56.9670     0.0890 
 2000.0849    56.9630     0.0870 
 2000.0876    57.1650     0.0850 
 2000.0904    57.6700     0.0840 
 2000.0931    58.2560     0.0840 
 2000.0958    59.0110     0.0840 
 2000.0986    60.0070     0.0840 
 2000.1013    61.1020     0.0840 
 2000.1040    62.1860     0.0860 
 2000.1068    63.4600     0.0850 
 2000.1095    64.7960     0.0830 
 2000.1123    65.8320     0.0840 
 2000.1150    66.2540     0.0860 
 2000.1177    66.1950     0.0850 
 2000.1205    66.0500     0.0840 
 2000.1232    66.0500     0.0850 
 2000.1259    66.5950     0.0840 
 2000.1287    67.3920     0.0840 
 2000.1314    68.0310     0.0840 
 2000.1342    68.5200     0.0830 
 2000.1369    69.0110     0.0840 
 2000.1396    69.2320     0.0860 
 2000.1424    69.0780     0.0850 
 2000.1451    68.8400     0.0820 
 2000.1478    68.4600     0.0800 
 2000.1506    67.9250     0.0810 
 2000.1533    67.4580     0.0840 
 2000.1561    67.0060     0.0870 
 2000.1588    66.6280     0.0850 
 2000.1615    66.4670     0.0840 
 2000.1643    66.3780     0.0840 
 2000.1670    66.5490     0.0820 
 2000.1698    67.1190     0.0810 
 2000.1725    67.7410     0.0820 
 2000.1752    67.9680     0.0830 
 2000.1780    68.0940     0.0830 
 2000.1807    68.5000     0.0840 
 2000.1834    68.8850     0.0840 
 2000.1862    69.2940     0.0830 
 2000.1889    70.2220     0.0840 
 2000.1917    71.6860     0.0840 
 2000.1944    73.0430     0.0860 
 2000.1971    73.9580     0.0880 
 2000.1999    74.5100     0.0890 
 2000.2026    74.6940     0.0890 
 2000.2053    74.7820     0.0890 
 2000.2081    74.6070     0.0910 
 2000.2108    74.2370     0.0890 
 2000.2136    73.9580     0.0870 
 2000.2163    73.7580     0.0850 
 2000.2190    73.8780     0.0870 
 2000.2218    74.0390     0.0870 
 2000.2245    74.0290     0.0860 
 2000.2272    74.0060     0.0870 
 2000.2300    73.8050     0.0880 
 2000.2327    73.4340     0.0900 
 2000.2355    73.1010     0.0920 
 2000.2382    72.7810     0.0910 
 2000.2409    72.7240     0.0890 
 2000.2437    73.3910     0.0890 
 2000.2464    74.4120     0.0900 
 2000.2491    75.2200     0.0880 
 2000.2519    75.7500     0.0860 
 2000.2546    76.4600     0.0850 
 2000.2574    77.1160     0.0850 
 2000.2601    77.1740     0.0860 
 2000.2628    77.0610     0.0850 
 2000.2656    77.2840     0.0840 
 2000.2683    77.6620     0.0840 
 2000.2711    77.8050     0.0850 
 2000.2738    78.1630     0.0840 
 2000.2765    79.1160     0.0820 
 2000.2793    80.3070     0.0810 
 2000.2820    81.4120     0.0800 
 2000.2847    82.0080     0.0790 
 2000.2875    82.0790     0.0790 
 2000.2902    82.1510     0.0780 
 2000.2930    82.3210     0.0770 
 2000.2957    82.4450     0.0760 
 2000.2984    82.3430     0.0750 
 2000.3012    82.3840     0.0760 
 2000.3039    82.5650     0.0760 
 2000.3066    82.5860     0.0770 
 2000.3094    82.8270     0.0770 
 2000.3121    83.3950     0.0780 
 2000.3149    84.1390     0.0780 
 2000.3176    84.9890     0.0760 
 2000.3203    85.8410     0.0750 
 2000.3231    86.6360     0.0740 
 2000.3258    87.4290     0.0750 
 2000.3285    88.3190     0.0750 
 2000.3313    89.1010     0.0740 
 2000.3340    89.6290     0.0740 
 2000.3368    90.0050     0.0750 
 2000.3395    89.9200     0.0740 
 2000.3422    89.5380     0.0730 
 2000.3450    89.1600     0.0720 
 2000.3477    88.6000     0.0730 
 2000.3505    87.9760     0.0730 
 2000.3532    87.5870     0.0730 
 2000.3559    87.3640     0.0740 
 2000.3587    87.4680     0.0740 
 2000.3614    88.0820     0.0730 
 2000.3641    88.8660     0.0720 
 2000.3669    89.5270     0.0720 
 2000.3696    90.1230     0.0730 
 2000.3724    90.6340     0.0740 
 2000.3751    91.0060     0.0740 
 2000.3778    91.5370     0.0720 
 2000.3806    92.3280     0.0730 
 2000.3833    93.2980     0.0730 
 2000.3860    94.1140     0.0720 
 2000.3888    94.5890     0.0710 
 2000.3915    94.7080     0.0710 
 2000.3943    94.8640     0.0710 
 2000.3970    95.4110     0.0720 
 2000.3997    96.2120     0.0720 
 2000.4025    97.3930     0.0720 
 2000.4052    98.9890     0.0720 
 2000.4079   100.7650     0.0720 
 2000.4107   102.3830     0.0710 
 2000.4134   103.7900     0.0710 
 2000.4162   105.1170     0.0710 
 2000.4189   106.4550     0.0710 
 2000.4216   107.7840     0.0730 
 2000.4244   108.8580     0.0730 
 2000.4271   109.8850     0.0730 
 2000.4299   111.0010     0.0730 
 2000.4326   111.9510     0.0730 
 2000.4353   112.5510     0.0730 
 2000.4381   112.6220     0.0740 
 2000.4408   112.5360     0.0730 
 2000.4435   112.7320     0.0720 
 2000.4463   113.1920     0.0730 
 2000.4490   113.5180     0.0740 
 2000.4518   113.7060     0.0750 
 2000.4545   113.7290     0.0770 
 2000.4572   113.1780     0.0760 
 2000.4600   112.2230     0.0750 
 2000.4627   111.0830     0.0740 
 2000.4654   109.9380     0.0740 
 2000.4682   108.9400     0.0730 
 2000.4709   108.2300     0.0720 
 2000.4737   107.8090     0.0720 
 2000.4764   107.6580     0.0720 
 2000.4791   107.8910     0.0720 
 2000.4819   108.2620     0.0730 
 2000.4846   108.6100     0.0730 
 2000.4873   109.0430     0.0730 
 2000.4901   109.6100     0.0730 
 2000.4928   110.1420     0.0730 
 2000.4956   110.3030     0.0730 
 2000.4983   110.2440     0.0730 
 2000.5010   110.0710     0.0730 
 2000.5038   109.6390     0.0730 
 2000.5065   109.0510     0.0720 
 2000.5093   108.2840     0.0720 
 2000.5120   107.4740     0.0720 
 2000.5147   107.0800     0.0710 
 2000.5175   106.9310     0.0720 
 2000.5202   106.4110     0.0740 
 2000.5229   105.5270     0.0760 
 2000.5257   104.5290     0.0760 
 2000.5284   103.6710     0.0740 
 2000.5312   102.9340     0.0730 
 2000.5339   102.2040     0.0740 
 2000.5366   101.2730     0.0750 
 2000.5394   100.1510     0.0740 
 2000.5421    99.2730     0.0740 
 2000.5448    98.3160     0.0740 
 2000.5476    97.1430     0.0740 
 2000.5503    96.0540     0.0740 
 2000.5531    94.8880     0.0730 
 2000.5558    93.5040     0.0730 
 2000.5585    92.1730     0.0730 
 2000.5613    91.3100     0.0730 
 2000.5640    90.8230     0.0730 
 2000.5667    90.4880     0.0730 
 2000.5695    90.2950     0.0730 
 2000.5722    89.8990     0.0740 
 2000.5750    89.1270     0.0750 
 2000.5777    88.3540     0.0750 
 2000.5804    87.6440     0.0740 
 2000.5832    86.9770     0.0740 
 2000.5859    86.4030     0.0740 
 2000.5887    85.9230     0.0750 
 2000.5914    85.3770     0.0760 
 2000.5941    84.6860     0.0770 
 2000.5969    83.9700     0.0770 
 2000.5996    83.2680     0.0770 
 2000.6023    82.3690     0.0760 
 2000.6051    81.2710     0.0760 
 2000.6078    79.9980     0.0760 
 2000.6106    78.3400     0.0770 
 2000.6133    76.6270     0.0760 
 2000.6160    75.0550     0.0750 
 2000.6188    73.6690     0.0760 
 2000.6215    72.6490     0.0760 
 2000.6242    72.0080     0.0760 
 2000.6270    71.3370     0.0760 
 2000.6297    70.4300     0.0760 
 2000.6325    69.1810     0.0750 
 2000.6352    67.5870     0.0740 
 2000.6379    65.8860     0.0740 
 2000.6407    63.9890     0.0760 
 2000.6434    62.1660     0.0770 
 2000.6461    60.6010     0.0780 
 2000.6489    59.1150     0.0790 
 2000.6516    57.4240     0.0770 
 2000.6544    55.6110     0.0760 
 2000.6571    53.8670     0.0760 
 2000.6598    52.3650     0.0770 
 2000.6626    51.2040     0.0780 
 2000.6653    50.1440     0.0770 
 2000.6680    49.1390     0.0770 
 2000.6708    48.0150     0.0770 
 2000.6735    46.7440     0.0780 
 2000.6763    45.2070     0.0780 
 2000.6790    43.4000     0.0770 
 2000.6817    41.3820     0.0780 
 2000.6845    39.0360     0.0770 
 2000.6872    36.6720     0.0750 
 2000.6900    34.2300     0.0740 
 2000.6927    31.8600     0.0740 
 2000.6954    29.8680     0.0740 
 2000.6982    27.8140     0.0740 
 2000.7009    25.1720     0.0740 
 2000.7036    22.1300     0.0740 
