   DATE        X           sigma  
 2000.0000   377.9910     0.0670 
 2000.0027   377.7500     0.0640 
 2000.0055   377.4460     0.0620 
 2000.0082   377.1530     0.0610 
 2000.0110   376.8560     0.0610 
 2000.0137   376.4740     0.0610 
 2000.0164   376.2930     0.0630 
 2000.0192   376.2490     0.0630 
 2000.0219   376.0050     0.0620 
 2000.0246   375.5700     0.0620 
 2000.0274   375.1140     0.0630 
 2000.0301   374.8810     0.0650 
 2000.0329   374.8930     0.0680 
 2000.0356   374.9980     0.0690 
 2000.0383   375.0340     0.0670 
 2000.0411   375.0210     0.0650 
 2000.0438   375.0220     0.0670 
 2000.0465   375.2750     0.0670 
 2000.0493   375.7840     0.0660 
 2000.0520   375.9330     0.0680 
 2000.0548   376.1070     0.0700 
 2000.0575   376.5360     0.0690 
 2000.0602   377.0160     0.0690 
 2000.0630   377.3770     0.0690 
 2000.0657   377.5750     0.0670 
 2000.0684   377.4960     0.0650 
 2000.0712   377.1360     0.0660 
 2000.0739   376.9110     0.0690 
 2000.0767   376.6670     0.0730 
 2000.0794   376.3800     0.0730 
 2000.0821   376.1700     0.0710 
 2000.0849   375.7620     0.0690 
 2000.0876   375.1940     0.0670 
 2000.0904   374.5850     0.0670 
 2000.0931   373.9940     0.0670 
 2000.0958   373.4300     0.0660 
 2000.0986   372.9260     0.0660 
 2000.1013   372.5190     0.0660 
 2000.1040   372.2000     0.0670 
 2000.1068   372.1120     0.0670 
 2000.1095   371.9150     0.0650 
 2000.1123   371.4320     0.0650 
 2000.1150   370.9410     0.0660 
 2000.1177   370.4060     0.0660 
 2000.1205   369.9630     0.0650 
 2000.1232   369.5520     0.0660 
 2000.1259   369.0350     0.0660 
 2000.1287   368.7210     0.0660 
 2000.1314   368.6380     0.0650 
 2000.1342   368.5330     0.0640 
 2000.1369   368.4180     0.0650 
 2000.1396   368.1960     0.0670 
 2000.1424   367.6240     0.0650 
 2000.1451   366.9500     0.0630 
 2000.1478   366.2800     0.0620 
 2000.1506   365.4690     0.0620 
 2000.1533   364.5400     0.0650 
 2000.1561   363.6540     0.0670 
 2000.1588   362.8250     0.0660 
 2000.1615   362.1340     0.0650 
 2000.1643   361.6130     0.0650 
 2000.1670   361.1190     0.0640 
 2000.1698   360.6570     0.0630 
 2000.1725   360.4690     0.0640 
 2000.1752   360.4530     0.0650 
 2000.1780   360.1980     0.0660 
 2000.1807   359.9850     0.0670 
 2000.1834   359.8000     0.0670 
 2000.1862   359.4250     0.0670 
 2000.1889   359.0500     0.0670 
 2000.1917   358.8780     0.0680 
 2000.1944   358.9100     0.0690 
 2000.1971   358.6610     0.0700 
 2000.1999   358.1730     0.0710 
 2000.2026   357.4080     0.0710 
 2000.2053   356.4720     0.0720 
 2000.2081   355.7790     0.0730 
 2000.2108   355.0220     0.0710 
 2000.2136   354.1620     0.0680 
 2000.2163   353.3170     0.0670 
 2000.2190   352.7740     0.0680 
 2000.2218   352.4150     0.0690 
 2000.2245   351.7800     0.0680 
 2000.2272   351.1940     0.0680 
 2000.2300   350.6380     0.0680 
 2000.2327   349.8130     0.0700 
 2000.2355   348.9390     0.0710 
 2000.2382   348.1990     0.0700 
 2000.2409   347.3890     0.0680 
 2000.2437   346.5890     0.0690 
 2000.2464   346.1740     0.0690 
 2000.2491   346.1440     0.0680 
 2000.2519   346.3440     0.0660 
 2000.2546   346.6770     0.0650 
 2000.2574   347.0260     0.0650 
 2000.2601   347.1210     0.0660 
 2000.2628   346.8650     0.0660 
 2000.2656   346.3590     0.0640 
 2000.2683   345.8320     0.0650 
 2000.2711   345.2380     0.0650 
 2000.2738   344.3670     0.0640 
 2000.2765   343.6660     0.0630 
 2000.2793   343.4500     0.0620 
 2000.2820   343.4780     0.0610 
 2000.2847   343.6850     0.0610 
 2000.2875   344.0130     0.0610 
 2000.2902   344.2840     0.0600 
 2000.2930   344.3060     0.0590 
 2000.2957   344.1920     0.0580 
 2000.2984   343.9170     0.0580 
 2000.3012   343.2720     0.0580 
 2000.3039   342.5970     0.0590 
 2000.3066   341.8940     0.0600 
 2000.3094   341.0250     0.0600 
 2000.3121   340.2920     0.0600 
 2000.3149   339.7800     0.0600 
 2000.3176   339.3880     0.0600 
 2000.3203   339.0420     0.0590 
 2000.3231   338.7910     0.0590 
 2000.3258   338.5200     0.0590 
 2000.3285   338.0540     0.0590 
 2000.3313   337.5980     0.0580 
 2000.3340   337.2600     0.0580 
 2000.3368   336.8400     0.0590 
 2000.3395   336.1120     0.0580 
 2000.3422   335.0350     0.0570 
 2000.3450   333.9830     0.0560 
 2000.3477   333.1020     0.0570 
 2000.3505   332.0690     0.0570 
 2000.3532   331.0280     0.0570 
 2000.3559   330.2630     0.0580 
 2000.3587   329.8710     0.0580 
 2000.3614   329.7700     0.0570 
 2000.3641   329.7650     0.0560 
 2000.3669   329.8460     0.0560 
 2000.3696   329.8110     0.0570 
 2000.3724   329.3680     0.0580 
 2000.3751   328.6010     0.0580 
 2000.3778   327.8330     0.0570 
