%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248    8.141665511502 -315.696200400595    1.0483    4.0583   0.163   15
47664.234    0.331792033882   11.387998799961    0.8654    3.2290   0.315    9
48174.255   -1.284877668993    5.086400400067    1.6986    8.1272  -0.064    6
48733.251   -0.970630753879   -1.260100800504    0.7428    1.7126   0.118   11
49184.423   -4.435003678952    5.237200799435    0.4797    1.4091  -0.178   27
49819.958   -0.126388895800   -0.073101599973    0.3541    0.3816  -0.561  154
49960.334   -0.335088001218   -1.247702400597    0.9081    0.8301  -0.112    4
50255.288   -0.066265526328    0.554097599803    0.3749    0.9239  -0.032   16
50868.167    0.303905502482   -0.114602400370    0.4716    1.5795  -0.233   18
50905.916   -0.734192639684   -0.568101600162    0.5169    0.6896   0.306   27
51883.083   -0.092802724280    0.035697600076    0.0583    0.1515  -0.184  145
52306.248   -0.797464453868   -1.613300400471    0.3799    0.8350   0.177   35
52401.205   -0.323242522569   -1.297000800360    0.1872    0.7832   0.107   33
52408.203    0.034784402939    0.267497999751    0.2643    0.5349  -0.067   21
52409.164    0.328193760219   -0.555199200214    0.3867    0.7820   0.290   45
52415.216   -0.129537340512    0.211197599409    0.1817    0.3952   0.063   13
52423.204    0.227442455606    0.727300799586    0.2433    0.7002   0.077   21
52429.205   -0.030282943104    0.707597999394    0.1675    0.4773   0.008   17
52436.203    0.176016120071    0.111599999641    0.2251    0.5095  -0.088   40
52443.216   -0.147978435507   -0.444902400520    0.2190    0.3449   0.098   24
52450.207   -0.182161907466    1.533700799961    0.2815    0.7082   0.079   29
52457.205   -0.082759987435    0.541098000006    0.1707    0.3838  -0.048   26
52464.204    0.205550660706   -0.405601200626    0.4815    0.9977   0.318    6
52471.213    0.018743350187    0.195199200004    0.2729    0.5997  -0.124   28
52471.688   65.594491268224   -0.662500800619    7.4415   17.0639  -0.632    4
52478.204   -0.036130105847   -0.525600000323    0.1925    0.6371   0.018   38
52485.209   -0.721901013758   -0.397699199972    0.3259    0.7911  -0.063   37
52492.204    0.478568658564    1.088200799870    0.3671    0.8617  -0.070   30
52492.708   -2.302886758062  -44.308800000259    3.9830    3.7128   0.127    7
52499.213    0.873179149409   -1.806299999974    0.2692    0.9164  -0.079   28
52506.204   -0.468820966967    0.836398799819    0.2073    0.5672  -0.286   16
52513.205   -0.266271279483   -0.724399200625    0.1514    0.4257   0.005   22
52521.204   -0.549932945166    0.048499199856    0.1601    0.4703  -0.008   28
52527.216   -0.242281646398    0.591299999364    0.2805    0.4414  -0.047   18
52534.204   -0.358624225948   -1.718801999928    0.2048    0.7714   0.020   16
52541.206    0.254879209190    0.826397999631    0.3529    0.5093  -0.321   31
52548.204   -0.225341038015   -0.008801999929    0.1790    0.3870  -0.036   21
52555.206   -0.267620612932    0.456497999402    0.1923    0.3682   0.073   19
52562.207    0.246031073224    0.480398399461    0.1520    0.6184   0.023   18
52564.242    0.033136393703    0.875199599992    0.1226    0.2538  -0.186   88
52565.243    0.386215712100    0.324799199536    0.1679    0.2372   0.007   64
52566.236   -0.055621909638    0.484898399833    0.1559    0.2724  -0.178   86
52567.241   -0.082159056456    0.450197999680    0.1021    0.2134  -0.067   75
52568.241    0.043179130549   -0.156600000167    0.0880    0.1469   0.019  105
52569.238    0.317398990366    0.591299999364    0.1455    0.2637  -0.122   81
52570.243   -0.173015146848    0.038800799373    0.1790    0.3042  -0.207   87
52571.244    0.245131517592   -0.005900400168    0.1672    0.3574   0.060   73
52572.237    0.320097708396    0.481798800056    0.1724    0.3772  -0.121   83
52573.242   -0.259524509974    0.699699599860    0.2855    0.3947  -0.334   73
52574.242   -0.443183324647    0.666597599519    0.2081    0.3070  -0.150   51
52575.236    0.013795743076    0.698299200064    0.1333    0.4120  -0.337   72
52576.244   -0.165217719677    0.409399199341    0.1539    0.2657  -0.123   83
