%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120824631334 -174.725899195494    0.6536    2.0286  -0.010   15
47664.234   -1.055818384507   -0.052999205025    0.4692    1.4446  -0.007   15
47919.244   -0.602284103519    6.251299203086    0.9671    3.7099   0.067   10
48111.253    0.519303208200   -0.355500000637    0.4784    0.5016   0.177   22
48126.246    1.367178819333    1.911700800861    0.5517    0.7260   0.138   17
48132.269   -1.936576741085   -3.575300401337    0.4921    0.6960   0.150   16
48146.415   -5.602344897799  -11.304698399783    0.9416    0.8617   0.457    6
48155.346    1.769912795159    0.819799204521    1.0283    1.5307   0.309    5
48160.346   -0.568978308558   -2.186298003437    0.7304    0.7354   0.386   15
48174.255    1.328274300023    4.003401603825    1.0570    5.1926   0.291   15
48357.336   -0.249923756111   -2.785100393510    0.9304    3.4971   0.356   11
48358.417   -1.056097299373   -3.453400803721    0.7784    2.5749   0.247   15
48371.249   -1.094860738543    0.698101199248    0.7509    2.1602   0.105   10
48384.270    1.695049257884    0.304801201878    0.4165    1.2485  -0.108    5
48406.261    0.157149531764    1.618099203426    0.7279    2.8974   0.185   12
48419.250   -2.600011926714   -2.656000795298    0.3539    0.5938   0.165    9
48454.270    2.781372643376   11.323202394919    0.4180    0.7198   0.177    7
48495.423   -0.348998669191    0.401799604788    0.4807    0.9575   0.378    6
48504.254   -1.383406853683   -3.478697995263    1.1317    1.5136   0.592    3
48524.255   -1.726951314987   -2.648300394981    1.5539    1.3424   0.698    4
48573.254    0.372652215264    2.121299999658    0.5266    1.1522   0.429    4
48580.256   -3.347832127333   -1.214600401056    0.7579    1.0365  -0.377    8
48636.252    0.616980874254    0.254001606947    0.5190    0.6145   0.494    7
48643.331   -0.003637156760   -0.671500794169    0.3718    0.7095  -0.155    9
48650.340    0.149733947195    0.224802001014    0.4816    0.6953   0.166    6
48664.248   -1.211147619729   -0.827297999706    0.7320    1.0589   0.315    4
48748.300   -0.054712749560   -0.816800400116    0.5921    1.1293   0.030    6
48776.081    1.143978200076   -1.867499997843    0.6871    0.9818   0.039   11
48787.411   -0.653641856600   -1.515297596200    0.7860    1.4869   0.059   22
48797.251    0.382166820333    0.271699207133    0.4874    1.2389   0.245    4
48812.251   -3.889945837083    7.223702404247    1.3334    2.6519   0.706    4
48821.332   -1.425528725654    0.310701595652    0.5440    0.4485  -0.143   20
48831.876   -2.817613821622   -2.103299998168    0.5152    0.6194   0.069    6
48833.125    1.227241446583    3.052101598655    0.3497    0.5781   0.253    9
