%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.032648543528 -311.281502401428    1.0197    3.5824   0.228   14
47664.234   -0.483301177084    4.547098799890    0.6880    2.7661   0.235   15
48509.247    2.593777677751    0.697197598853    1.5750    3.7812   0.711    8
48853.258   -2.708373785395   -4.106501999246    1.0400    3.6812   0.234   12
49254.416    0.002983015149    1.359399600886    0.4513    2.0578  -0.217   27
50162.252    0.814855555190   -3.256700400556    1.0712    4.7470  -0.930    5
50246.252   -0.036409314156   -1.658300399399    0.5414    0.8302  -0.168    5
50400.252   -0.118624826957    0.700700400103    0.3092    0.5764  -0.090   11
50458.831    0.010446049230   -1.353600000087    0.1684    0.2976  -0.104   97
50470.253    0.310064210962   -0.997401601310    0.4837    0.6163   0.053    7
50540.253    0.453756624760    0.248097600064    0.4221    0.6456   0.342    5
50638.253   -0.207705101591    0.609897601223    0.4406    0.9839  -0.322    5
50694.253   -0.050583419851   -0.411299998859    0.3240    0.7933  -0.109    9
50750.253   -0.787696356457    0.237099600753    0.4910    1.3704  -0.660    8
50785.252   -0.282013405408    2.074600801549    0.4148    1.4570  -0.652    8
50841.252    1.312631500817   -3.297200400709    0.8819    2.0118  -0.604    4
50919.324    0.437791977148    1.661198401237    0.0841    0.2352  -0.321  153
51009.252    0.428094429809   -0.898599601129    0.5985    0.9759  -0.580    8
51051.252    0.191439587568   -1.811300399268    0.7641    1.7421  -0.613    6
51254.251    0.277984482531    1.094198399088    0.3560    1.0730  -0.346    4
51366.251    0.595211064725    0.153100799238    0.4426    0.6231  -0.058    7
51485.250   -0.075203574776    0.220298400322    0.3849    0.8108  -0.327    9
51646.252    0.076249075377    0.730198800625    0.5033    0.8584  -0.322    4
51751.250    0.190991952088    0.371199599059    0.4888    0.7308  -0.190    5
52488.270   -5.722184993752    6.287598000654    3.2751    2.6680  -0.967    4
52530.270    0.021336273364    0.735598801072    0.1846    0.4715  -0.056   27
52558.270    0.133994662896   -0.631000800411    0.5222    0.6748  -0.373   10
52593.272   -0.204722086442    0.315900000558    0.1750    0.5468  -0.130   20
52740.270   -0.405411789432    1.009000799712    0.3154    0.6679  -0.297    8
52746.272    0.132798729089   -0.407599199193    0.1759    0.2930   0.106   31
52753.244   -0.447790594461    0.588297599435    0.6516    0.7554  -0.020    3
52754.270   -0.007610006711   -0.137800801170    0.1509    0.3425   0.000   20
52759.271    0.103404813535    0.118497598933    0.3078    0.5534  -0.318   20
52768.271   -0.137425720651    0.743799601111    0.2135    0.4730   0.206   15
52775.269    0.065355390668   -0.420199200235    0.2284    0.7467  -0.435   13
52781.248    1.482881584089   -0.542199600417    0.4691    0.5570  -0.352    8
52782.267   -0.345578254159    0.387000000046    0.1412    0.3353  -0.081   31
52789.269    0.208600168987    0.854798401662    0.1948    0.4303  -0.207   17
52796.271   -0.002087947754    0.000000000000    0.1821    0.3744  -0.104   20
