%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
50575.751    0.863191912053    0.972399600840    0.2029    0.4662  -0.091   86
56677.793    0.573258308929    1.402801196804    0.3183    1.6829  -0.120   54
56729.228    0.000000000000   -2.764602000127    0.2395    1.7965   0.238   15
56749.791    0.311991141423   -3.351999599488    0.2787    1.4899  -0.188   46
56778.792   -0.258472491905    2.053097998811    0.4396    1.7231  -0.041   25
56817.881    0.178195921687    0.229499996607    0.1625    0.3351   0.262   64
56820.252   -0.067485207813   -1.222902003661    0.5368    2.1369  -0.193   25
56854.790    1.517167665166   -1.852498800758    0.5621    2.2504  -0.047   18
56880.792    0.163640261098    0.000000000000    0.2985    1.1509   0.041   30
56896.790    0.320223329465    2.739798001272    0.4360    1.3873   0.096   16
56971.790   -3.177386496402   -2.316200402674    0.2568    1.4148  -0.012   69
56989.165   -4.456075243852    5.795899197381    0.5590    2.5193  -0.056   39
57008.794   -3.735940916416    1.217800797804    0.3235    1.2420   0.310   46
57974.230   69.991920505277 -164.993900404653    0.7345    0.6513   0.400   34
58142.227   -2.505181868441   -1.144400401643    0.3322    1.1829   0.480   46
58216.836   -1.235021966265    2.746799997055    0.1224    0.2926   0.118   90
58324.227    1.166950865433    4.855100398515    0.4698    1.0890   0.166   15
58577.250   -0.851282899318   -0.651200399204    0.5078    1.3345   0.327   27
