   DATE        X           sigma      Y         sigma 
47904.2620      0.390      0.109     -0.321      0.109 
47909.2520      0.216      0.124      0.032      0.120 
47914.2520      0.321      0.129     -0.572      0.121 
47919.2500      0.597      0.119     -0.295      0.107 
47924.2480      0.022      0.162      0.078      0.206 
47929.2500      0.204      0.149     -0.355      0.120 
47934.2530      0.065      0.152     -0.304      0.126 
47939.2580      0.399      0.146     -0.355      0.118 
47944.2500      0.299      0.175     -0.308      0.135 
47949.2470      0.277      0.239     -0.409      0.191 
47954.2510      0.241      0.152     -0.314      0.128 
47959.2520      0.077      0.130     -0.211      0.110 
47964.2480     -0.143      0.168     -0.625      0.179 
47969.2510     -0.244      0.263      0.010      0.219 
47974.2490     -0.202      0.124     -0.516      0.112 
47979.2500     -0.159      0.138     -0.308      0.139 
47984.2490      0.291      0.148      0.044      0.150 
47989.2470      0.095      0.139     -0.096      0.152 
47994.2510     -0.003      0.107     -0.383      0.125 
47999.2490      0.207      0.125     -0.720      0.150 
48004.2480      0.072      0.119     -0.005      0.165 
48009.2470     -0.159      0.141     -0.419      0.165 
48014.2490     -0.136      0.095     -0.373      0.115 
48019.2510      0.139      0.116     -0.006      0.155 
48024.2490      0.286      0.123     -0.243      0.162 
48029.2490     -0.109      0.142      0.124      0.185 
48034.2530     -0.213      0.104     -0.226      0.133 
48039.2480     -0.111      0.117      0.226      0.147 
48044.2500      0.202      0.118     -0.283      0.145 
48049.2510      0.174      0.144     -0.578      0.168 
48054.2500      0.172      0.118     -0.214      0.134 
48059.2520      0.054      0.119     -0.157      0.131 
48064.2510      0.093      0.139      0.017      0.152 
48069.2520     -0.016      0.125      0.070      0.134 
48074.2490     -0.372      0.131      0.012      0.125 
48079.2490      0.039      0.124     -0.227      0.131 
48084.2460      0.221      0.132      0.023      0.130 
48089.2450      0.205      0.198     -0.079      0.195 
48094.2490      0.075      0.183     -0.026      0.184 
48099.2490     -0.593      0.163     -0.319      0.146 
48104.2670     -1.161      0.259      0.158      0.219 
48114.2500     -0.445      0.204      0.239      0.172 
48119.2490      0.426      0.193     -0.179      0.160 
48124.2520     -0.189      0.220     -0.187      0.170 
48129.2500     -0.196      0.228     -0.325      0.194 
48134.2450      0.080      0.159     -0.071      0.133 
48139.2560      0.375      0.215      0.455      0.178 
48144.2540     -0.091      0.183      0.348      0.164 
48149.2490      0.030      0.145      0.299      0.133 
48154.2520     -0.028      0.207      0.176      0.185 
48159.2470      0.160      0.137      0.263      0.124 
48164.2460     -0.072      0.130      0.047      0.132 
48169.2510     -0.356      0.195      0.045      0.203 
48174.2570     -0.246      0.158      0.067      0.174 
48179.2510     -0.174      0.229      0.872      0.271 
48184.2510      0.140      0.113      0.126      0.140 
48189.2500      0.209      0.108     -0.194      0.129 
48194.2470      0.269      0.126      0.359      0.150 
48199.2500     -0.011      0.116     -0.115      0.152 
48204.2460      0.037      0.106     -0.065      0.158 
48209.2490     -0.051      0.092      0.035      0.118 
48214.2490      0.067      0.103     -0.089      0.134 
48219.2470     -0.052      0.101     -0.051      0.135 
48224.2520     -0.193      0.138      0.418      0.186 
48229.2560      0.047      0.158     -0.129      0.208 
48234.2560      0.156      0.127     -0.033      0.153 
48239.2500     -0.117      0.112      0.123      0.137 
48244.2520      0.089      0.106     -0.142      0.126 
48248.5160      0.031      0.269     -0.407      0.185 
48254.2500      0.218      0.125     -0.239      0.141 
48259.2500      0.182      0.121      0.129      0.121 
48264.2510      0.175      0.116     -0.087      0.116 
48269.2520      0.176      0.153     -0.129      0.149 
48274.2490      0.251      0.123      0.103      0.116 
48279.2500      0.185      0.097      0.052      0.088 
48284.2520      0.099      0.120      0.021      0.099 
48289.2430      0.447      0.143     -0.127      0.121 
48294.2500      0.252      0.129     -0.148      0.096 
48299.2480      0.952      0.197     -0.027      0.150 
48304.2570      0.369      0.190     -0.234      0.155 
48309.2470      0.549      0.119     -0.315      0.088 
48314.2470      0.336      0.120     -0.028      0.089 
48319.2500      0.346      0.208     -0.407      0.213 
48324.2530      0.476      0.109     -0.200      0.086 
48329.2520      0.232      0.129     -0.063      0.100 
48334.2500      0.254      0.140     -0.185      0.121 
48339.2500      0.619      0.126     -0.067      0.112 
48344.2510      0.739      0.149     -0.107      0.138 
48349.2550      0.908      0.159     -0.090      0.153 
48354.2500      1.466      0.183      0.576      0.186 
48359.2520      0.293      0.102     -0.114      0.111 
48364.2450      0.324      0.110     -0.146      0.122 
48368.8330      0.291      0.101      0.103      0.136 
48375.8320      0.754      0.139      0.447      0.182 
48382.8330      0.057      0.114     -0.326      0.143 
48389.8320      0.273      0.100     -0.531      0.126 
48396.8340     -0.028      0.106     -0.149      0.126 
48403.8320     -0.077      0.120     -0.383      0.132 
48410.8340     -0.091      0.114     -0.299      0.116 
48417.8320     -0.103      0.136     -0.532      0.135 
48424.8330      0.009      0.126     -0.234      0.115 
48431.8330      0.687      0.121     -0.590      0.110 
48438.8350     -0.242      0.140     -0.017      0.110 
48445.8340      1.177      0.216     -0.611      0.186 
48452.8330      0.213      0.125      0.014      0.099 
48459.2500      0.074      0.121      0.198      0.115 
48467.2520      0.267      0.158     -0.246      0.119 
48473.8330      0.042      0.145     -0.315      0.118 
48480.8320     -0.329      0.138      0.350      0.117 
48487.8360     -0.091      0.193      0.114      0.162 
48494.8330      0.048      0.125     -0.316      0.126 
48501.8340      0.205      0.163     -0.160      0.204 
48509.2490     -0.421      0.133      0.417      0.119 
48515.8370      0.058      0.136     -0.065      0.161 
48522.8340     -1.348      0.164      0.179      0.199 
48529.8350      0.000      0.106     -0.185      0.131 
48536.8320     -0.388      0.107     -0.159      0.138 
48543.8320      0.207      0.102      0.199      0.128 
48550.8340      0.037      0.143      0.367      0.179 
48557.8340      0.167      0.097      0.006      0.115 
48564.8340     -0.017      0.109      0.151      0.126 
48571.8360      0.033      0.276      0.183      0.252 
48578.8360      0.243      0.133     -0.342      0.136 
48585.8340      0.126      0.111      0.220      0.112 
48592.8350     -0.102      0.148      0.063      0.147 
48599.8350      0.293      0.263     -0.937      0.258 
48606.8330      0.030      0.127      0.365      0.121 
48613.5030      0.298      0.177     -0.189      0.128 
48627.8360      0.193      0.170      0.169      0.150 
48634.8330      0.262      0.136      0.202      0.112 
48641.8330      0.004      0.092      0.128      0.069 
48648.8330      0.048      0.076     -0.030      0.059 
48655.8410     -0.225      0.238     -0.177      0.215 
48662.8330      0.254      0.115     -0.103      0.097 
48669.8400      0.032      0.357      0.280      0.346 
48676.8350      0.090      0.091     -0.149      0.084 
48683.8310      0.163      0.132      0.083      0.137 
48690.8330      0.229      0.129      0.093      0.097 
48697.8330      0.212      0.095      0.185      0.106 
48704.8350      0.379      0.111     -0.006      0.129 
48711.8340      0.140      0.135      0.074      0.196 
48718.8360      0.097      0.149      0.039      0.183 
48725.8370      0.169      0.378     -0.169      0.493 
48732.8350      0.217      0.127      0.304      0.175 
48739.8350      0.108      0.116     -0.232      0.147 
48753.8340     -0.212      0.181     -0.524      0.221 
48760.8320      0.065      0.095     -0.732      0.137 
48767.8360      0.290      0.155     -0.112      0.165 
48774.8350     -0.145      0.166     -0.242      0.197 
48781.8360      0.759      0.178     -0.256      0.178 
48788.8330     -0.189      0.210     -1.043      0.208 
48795.8350      0.242      0.183     -0.124      0.176 
48802.8320      0.563      0.151     -0.264      0.134 
48809.8360      0.420      0.167     -0.449      0.139 
48816.8350      0.125      0.110      0.105      0.092 
48823.8440     -0.046      0.173     -0.447      0.160 
48830.8350      0.319      0.235     -0.533      0.195 
48837.8360     -0.133      0.181      0.140      0.144 
48844.8330      0.727      0.225      0.054      0.181 
48851.8370     -0.344      0.153     -0.398      0.156 
48858.8360     -0.342      0.265     -0.232      0.245 
48865.8350     -0.331      0.100     -0.294      0.098 
48872.8340      0.492      0.136     -0.569      0.154 
48879.8340     -0.099      0.095     -0.268      0.107 
48886.8330     -0.267      0.118     -0.034      0.141 
48893.8370     -0.301      0.121     -0.021      0.146 
48900.8320     -0.213      0.104     -0.363      0.116 
48907.8350     -0.372      0.127     -0.155      0.149 
48914.8330     -0.091      0.099     -0.065      0.120 
48921.8330     -0.237      0.136      0.270      0.151 
48928.8320      0.151      0.128     -0.500      0.147 
48935.8330     -0.065      0.081     -0.209      0.092 
48942.8350      0.001      0.110      0.017      0.110 
48949.8340     -0.352      0.121      0.071      0.131 
48956.8330      0.235      0.105      0.205      0.111 
48963.8340     -0.309      0.088      0.239      0.093 
48970.8360     -0.119      0.099      0.109      0.092 
48977.8330      0.009      0.113     -0.218      0.108 
48984.8340      0.029      0.099     -0.102      0.085 
48991.8330      0.237      0.128     -0.139      0.108 
48998.8360     -0.332      0.150      0.178      0.132 
49005.8330     -0.029      0.102      0.008      0.083 
49012.8340     -0.170      0.103      0.189      0.086 
49019.8380      0.163      0.173     -0.349      0.142 
49026.8350     -0.238      0.104     -0.108      0.091 
49033.8330      0.185      0.088      0.056      0.075 
49040.8330     -0.088      0.102      0.162      0.102 
49047.8350      0.066      0.093      0.290      0.112 
49054.8330      0.031      0.099      0.146      0.105 
49061.8340     -0.039      0.085     -0.207      0.100 
49068.8370      0.033      0.083      0.029      0.107 
49075.8330     -0.052      0.083      0.073      0.109 
49082.8340     -0.776      0.194      0.108      0.262 
49089.8350      0.156      0.109     -0.142      0.147 
49096.8340      0.089      0.097     -0.400      0.128 
49103.8350     -0.386      0.176     -0.524      0.222 
49113.2530      0.158      0.115     -0.026      0.105 
49126.2510     -0.064      0.138      0.026      0.128 
49133.2520      0.166      0.101     -0.074      0.093 
49140.2520      0.208      0.101     -0.264      0.097 
49147.2540      0.461      0.095     -0.244      0.094 
49154.2520      0.196      0.104     -0.797      0.113 
49161.2520      0.059      0.088     -0.602      0.100 
49168.2540      0.314      0.282     -0.358      0.255 
49175.2530      0.155      0.090     -0.117      0.082 
49182.2530      0.417      0.072     -0.274      0.080 
49189.2530      0.094      0.095     -0.034      0.104 
49196.2520     -0.185      0.121      0.010      0.118 
49203.2510      0.611      0.255      0.341      0.185 
49210.2490      0.116      0.091     -0.167      0.083 
49217.2530     -0.175      0.113     -0.427      0.112 
49224.2510     -0.025      0.161     -0.134      0.135 
49231.2520      0.294      0.091     -0.065      0.080 
49238.2530      0.079      0.101     -0.257      0.097 
49245.2520      0.022      0.084     -0.045      0.084 
49252.2540      0.060      0.064     -0.072      0.062 
49259.2530      0.039      0.089     -0.063      0.096 
49266.2520      0.078      0.113     -0.063      0.116 
49273.2530      0.010      0.074      0.088      0.083 
49280.2510     -0.474      0.099     -0.063      0.103 
49287.2530     -0.001      0.102     -0.124      0.099 
49294.2520     -0.098      0.076     -0.155      0.084 
49301.2530     -0.334      0.065     -0.049      0.071 
49308.2540      0.004      0.076      0.015      0.094 
49315.2520     -0.153      0.107     -0.322      0.133 
49322.2480      0.065      0.062     -0.082      0.068 
49329.2490     -0.289      0.080     -0.073      0.082 
49336.2490      0.068      0.062     -0.323      0.064 
49343.2500     -0.053      0.055     -0.226      0.058 
49350.2490      0.054      0.089     -0.068      0.109 
49357.2520      0.081      0.070     -0.156      0.068 
49364.2490     -0.225      0.103     -0.061      0.083 
49371.2510     -0.292      0.053      0.044      0.051 
49378.2500      0.107      0.065     -0.079      0.069 
49385.2470     -0.186      0.070      0.081      0.066 
49392.2490      0.200      0.093     -0.268      0.093 
49399.2500     -0.206      0.089     -0.418      0.099 
49406.2650      0.063      0.180     -0.146      0.190 
49413.2510      0.033      0.112      0.141      0.112 
49420.2500     -0.028      0.089      0.179      0.080 
49427.2490      0.009      0.100      0.212      0.095 
49434.2500     -0.045      0.096      0.046      0.086 
49441.2510     -0.156      0.088     -0.062      0.081 
49448.2520     -0.052      0.101     -0.095      0.090 
49455.2490     -0.282      0.112      0.145      0.107 
49462.2480      0.065      0.071      0.138      0.074 
49469.2500     -0.167      0.088      0.126      0.091 
49476.2490      0.007      0.077      0.070      0.085 
49483.2510      0.056      0.090      0.062      0.085 
49490.2530      0.055      0.073     -0.006      0.080 
49497.2510      0.107      0.077     -0.093      0.083 
49504.2490      0.123      0.061      0.227      0.071 
49511.2530      0.155      0.097      0.238      0.100 
49518.2540     -0.397      0.134     -0.454      0.144 
49525.2520      0.097      0.099      0.078      0.107 
49532.2500      0.076      0.093      0.212      0.107 
49539.2520      0.047      0.070      0.137      0.074 
49546.2520      0.076      0.083      0.134      0.086 
49553.2550     -0.027      0.085     -0.130      0.087 
49560.2560     -0.065      0.099     -0.017      0.088 
49567.2490      0.251      0.136      0.555      0.150 
49574.2500     -0.067      0.069      0.006      0.061 
49581.2490      0.093      0.074     -0.138      0.063 
49588.2520      0.210      0.082     -0.144      0.074 
49595.2530      0.049      0.083      0.011      0.074 
49602.2510      0.055      0.058     -0.010      0.056 
49609.2510      0.222      0.068     -0.121      0.068 
49616.2510      0.045      0.062     -0.140      0.062 
49623.2500      0.153      0.059     -0.102      0.060 
49630.2500      0.155      0.062      0.306      0.059 
49637.2510      0.123      0.057     -0.154      0.065 
49644.2500      0.311      0.079      0.106      0.092 
49651.2600      0.332      0.064     -0.336      0.076 
49658.2610      0.020      0.053     -0.170      0.061 
