   DATE        X           sigma      Y         sigma 
47904.2620      0.602      0.124     -0.092      0.137 
47909.2320      0.110      0.204      0.615      0.367 
47910.3390      0.479      0.144      0.168      0.185 
47914.2520      0.301      0.136     -0.446      0.141 
47915.3120      0.354      0.188     -0.084      0.269 
47916.3520     -0.106      0.340      0.281      0.349 
47918.2210      0.497      0.271      0.312      0.229 
47919.2440     -0.259      0.317     -1.062      0.449 
47921.0960      0.170      0.142     -0.134      0.161 
47923.0840     -0.209      0.459     -0.368      0.376 
47924.2480     -0.035      0.209      0.315      0.270 
47929.2500      0.038      0.159     -0.094      0.133 
47930.3310     -0.766      0.258     -0.169      0.289 
47931.0830     -0.061      0.381      0.694      0.510 
47934.2510      0.467      0.418      0.356      0.556 
47935.2730      0.283      0.068      0.135      0.121 
47936.2090      0.196      0.338      0.248      0.429 
47937.0840      0.168      0.190     -0.192      0.188 
47938.1670      0.263      0.140      0.155      0.181 
47939.2580      0.283      0.149     -0.116      0.117 
47940.2500      0.283      0.202      0.105      0.251 
47941.1870      0.068      0.159     -0.409      0.212 
47942.1250     -0.087      0.297     -0.304      0.310 
47943.1820      0.030      0.164     -0.693      0.249 
47944.2500      0.191      0.205     -0.077      0.152 
47949.2470      0.308      0.306     -0.285      0.204 
47951.0820      0.365      0.182     -0.118      0.207 
47954.2520      0.002      0.165     -0.282      0.128 
47958.0980      0.125      0.155      0.113      0.207 
47959.2520      0.111      0.159     -0.187      0.127 
47964.2480      0.283      0.208     -0.044      0.195 
47965.2930      0.059      0.230     -0.083      0.348 
47966.4170     -0.099      0.222     -0.141      0.148 
47969.2510      0.725      0.319     -0.052      0.286 
47972.1010      0.449      0.144     -0.520      0.209 
47973.4050      0.203      0.060      0.015      0.069 
47974.2480     -0.235      0.135     -0.236      0.129 
47978.1680     -0.057      0.067     -0.183      0.087 
47979.2500      0.675      0.204     -0.429      0.162 
47980.3310      0.050      0.111     -0.114      0.083 
47984.2480      0.049      0.139     -0.281      0.133 
47985.2870      0.239      0.374      0.260      0.453 
47986.0690      0.212      0.142      0.033      0.196 
47989.2470      0.113      0.148      0.118      0.164 
47993.0820     -0.207      0.164      0.172      0.183 
47994.2500     -0.066      0.135     -0.263      0.151 
47995.3410      0.287      0.213     -0.521      0.142 
47998.1650     -0.096      0.171      0.015      0.164 
47999.2490     -0.152      0.135     -0.592      0.147 
48000.0680     -0.001      0.210      0.216      0.323 
48001.1680      0.165      0.115     -0.112      0.145 
48004.2480     -0.044      0.148      0.370      0.192 
48005.3360      0.216      0.114     -0.305      0.126 
48007.0840     -0.109      0.175     -0.069      0.174 
48008.1680     -0.363      0.107     -0.116      0.083 
48009.2470     -0.213      0.148     -0.345      0.165 
48013.1610      0.038      0.181     -0.284      0.169 
48014.2490     -0.182      0.109     -0.390      0.131 
48015.3330     -0.274      0.275     -0.182      0.200 
48018.1670      0.345      0.195     -0.275      0.171 
48019.2500     -0.017      0.133     -0.242      0.183 
48020.2690      0.415      0.146      0.028      0.134 
48022.1720     -0.225      0.583     -0.612      0.481 
48024.2490      0.245      0.150     -0.194      0.187 
48026.1680     -0.269      0.123      0.150      0.089 
48027.2580     -0.549      0.208     -0.350      0.156 
48029.2490     -0.012      0.122      0.052      0.168 
48033.1730      0.005      0.098      0.027      0.109 
48034.2460     -0.126      0.232     -0.148      0.185 
48035.3330     -0.016      0.093     -0.204      0.083 
48036.3330      0.021      0.085     -0.079      0.079 
48039.2480     -0.261      0.132      0.603      0.169 
48041.2700     -0.375      0.232     -0.049      0.267 
48044.2500      0.038      0.126     -0.238      0.153 
48047.2450     -0.184      0.253     -0.820      0.210 
48049.2500      0.036      0.177     -0.601      0.198 
48054.2490      0.024      0.133     -0.338      0.155 
48055.3200     -0.075      0.192      0.030      0.205 
48059.2520      0.202      0.131     -0.236      0.146 
48064.2510      0.314      0.163     -0.055      0.187 
48065.3340     -0.154      0.107     -0.424      0.100 
48068.1640     -0.169      0.138      0.371      0.159 
48069.2340     -0.089      0.238     -0.013      0.220 
48071.0430      0.219      0.124     -0.177      0.091 
48072.5050      0.494      0.950      0.494      1.063 
48074.2490     -0.385      0.152      0.028      0.134 
48078.1680     -1.445      0.388     -0.524      0.291 
48079.2490     -0.311      0.135     -0.170      0.139 
48082.2500      0.338      0.276     -0.513      0.421 
48084.2460      0.161      0.152      0.162      0.140 
48086.4140      0.206      0.365      0.087      0.347 
48089.2450      0.366      0.203     -0.334      0.206 
48090.3630     -0.326      0.232     -0.512      0.237 
48092.0900      0.103      0.178     -0.026      0.197 
48093.1660     -0.219      0.197     -0.012      0.150 
48094.2490      0.040      0.208     -0.340      0.240 
48096.0450      0.265      0.365     -0.343      0.313 
48097.1670     -0.479      0.274     -0.913      0.384 
48098.1770      0.090      0.230      0.731      0.301 
48099.2480     -0.871      0.193      0.021      0.158 
48100.3360      0.048      0.278     -0.006      0.305 
48103.1670     -0.001      0.167     -0.079      0.226 
48104.2520      0.283      0.184      0.251      0.228 
48111.2510     -0.255      0.150      0.052      0.223 
48114.2500     -0.317      0.275      0.542      0.214 
48115.3320     -0.446      0.256     -0.446      0.302 
48117.2430     -0.435      0.404      0.617      0.385 
48118.2480     -0.141      0.235     -0.173      0.268 
48119.2480      0.942      0.193     -0.015      0.158 
48120.3420     -0.003      0.173      0.279      0.124 
48124.2520     -0.370      0.098     -0.291      0.106 
48126.2470      0.211      0.151     -0.147      0.187 
48129.2500     -0.162      0.288     -0.461      0.254 
48132.2680      0.023      0.212     -0.769      0.229 
48134.2460      0.265      0.200      0.137      0.168 
48139.2560      0.886      0.259      0.660      0.203 
48140.2430     -0.611      0.208     -0.151      0.323 
48141.4160     -0.225      0.218      0.424      0.202 
48143.1630     -0.455      0.148     -0.084      0.163 
48144.2530      0.152      0.209      0.525      0.173 
48145.3330     -0.352      0.191      0.052      0.126 
48146.4160     -0.046      0.186     -0.348      0.165 
48149.2490     -0.027      0.204     -0.025      0.163 
48154.2520     -0.285      0.235      0.152      0.197 
48155.3460     -0.025      0.288      0.392      0.251 
48159.2480      0.136      0.138      0.194      0.124 
48160.3460      0.047      0.203     -0.092      0.166 
48162.1670      0.565      0.230      0.114      0.173 
48164.2460      0.094      0.150     -0.015      0.151 
48167.2420     -0.228      0.283      0.401      0.213 
48169.2480      0.406      0.318      0.557      0.328 
48170.3390      0.201      0.095     -0.178      0.089 
48174.2550     -0.422      0.777     -0.302      0.553 
48175.3320     -0.290      0.193      0.199      0.181 
48176.4210      0.272      0.188     -0.261      0.196 
48179.2450      0.214      1.063      1.050      0.800 
48181.2730     -0.294      0.218     -0.119      0.151 
48183.1590     -0.145      0.163      0.108      0.152 
48184.2500      0.162      0.144      0.281      0.162 
48187.2540     -0.008      0.207     -0.210      0.160 
48188.3450      0.982      0.587      0.198      0.706 
48189.2500      0.422      0.130      0.000      0.145 
48190.3320     -0.123      0.106      0.103      0.099 
48192.1680      0.004      0.206      0.109      0.149 
48193.1680      0.713      0.209      0.254      0.158 
48194.2450      1.204      0.919      1.649      0.813 
48195.3360      0.981      0.860      0.848      1.021 
48196.4020      0.172      0.201      0.298      0.180 
48199.2500     -0.209      0.133     -0.253      0.188 
48202.2490      0.220      0.184     -0.100      0.173 
48204.2460      0.068      0.128      0.202      0.212 
48209.2480     -0.019      0.109     -0.086      0.148 
48210.3180     -0.006      0.317      0.053      0.342 
48213.1680     -0.062      0.122      0.089      0.155 
48214.2490     -0.144      0.128     -0.087      0.173 
48216.2480      0.303      0.301      0.229      0.275 
48219.2460     -0.013      0.111     -0.031      0.157 
48222.0770     -0.207      0.105      0.004      0.114 
48223.1680     -0.038      0.460      0.658      0.382 
48224.2510     -0.151      0.145      0.497      0.204 
48225.3500     -0.173      0.078      0.306      0.112 
48229.2500      0.344      0.649      0.473      0.409 
48231.2500      0.724      0.290      0.734      0.368 
48234.2560      0.261      0.130      0.263      0.177 
48236.2500      0.180      0.106      0.217      0.121 
48237.3340     -0.161      0.166     -0.198      0.201 
48239.2500     -0.201      0.116      0.424      0.158 
48240.3350      0.334      0.101      0.526      0.142 
48243.1700      0.433      0.195      0.639      0.192 
48244.2500     -0.386      0.191      0.304      0.208 
48246.2650     -0.091      0.295     -0.181      0.180 
48248.5160      0.372      0.326     -0.556      0.199 
48252.3230      0.755      0.177      0.219      0.204 
48254.2500      0.058      0.131     -0.188      0.171 
48259.2500      0.237      0.137      0.442      0.151 
48260.3500      0.265      0.275      0.335      0.360 
48262.7320     -0.414      0.300      0.580      0.213 
48264.2500      0.207      0.123      0.128      0.139 
48265.3520      0.322      0.247     -0.082      0.305 
48267.1680      0.069      0.209      0.309      0.246 
48269.2520      0.397      0.164      0.445      0.166 
48272.3270      0.340      0.280     -0.173      0.328 
48273.1690     -0.010      0.194     -0.050      0.223 
48274.2490      0.057      0.126     -0.108      0.125 
48279.2490      0.146      0.284      0.493      0.261 
48280.3450     -0.002      0.184     -0.036      0.222 
48284.2520     -0.004      0.129      0.022      0.109 
48285.3340      0.252      0.247     -0.557      0.319 
48287.2490      0.467      0.151     -0.181      0.180 
48289.2430      0.169      0.161      0.159      0.136 
48292.2520      0.204      0.134      0.190      0.156 
48294.2500      0.111      0.145     -0.110      0.108 
48295.3430      0.040      0.281      0.289      0.394 
48299.2460      0.296      0.273      0.312      0.264 
48300.3330      0.348      0.092      0.095      0.086 
48301.4100      0.513      0.288     -0.205      0.236 
48304.2570      0.181      0.263      0.043      0.196 
48307.2710     -0.219      0.171     -0.087      0.181 
48309.2470      0.310      0.130     -0.214      0.095 
48312.2470      0.267      0.135      0.024      0.177 
48314.2480      0.431      0.129      0.003      0.099 
48315.3320      0.371      0.365      0.032      0.306 
48316.4170      0.037      0.218     -0.018      0.185 
48319.2500      0.237      0.214     -0.007      0.207 
48322.2320      0.240      0.224      0.167      0.238 
48324.2520      0.409      0.122     -0.082      0.097 
48327.2670      0.619      0.255      0.081      0.206 
48327.9770     -9.513      6.359     -0.320      3.799 
48329.2520      0.306      0.139      0.193      0.106 
48330.3340      0.301      0.075     -0.109      0.071 
48331.4160     -0.416      0.291     -0.025      0.187 
48334.2500      0.288      0.167     -0.082      0.138 
48336.4140      0.409      0.269      0.033      0.198 
48339.2500      0.280      0.153     -0.260      0.129 
48339.9380     -0.154      0.148      0.028      0.130 
48341.1660      0.391      0.171     -0.153      0.149 
48344.2500     -0.141      0.146      0.026      0.136 
48348.1660      0.132      0.180     -0.674      0.217 
48349.2550      0.540      0.220     -0.398      0.194 
48350.3640      0.591      0.286      0.094      0.196 
48354.2500      0.607      0.149     -0.032      0.142 
48356.2590      0.060      0.218     -0.093      0.165 
48357.3360      0.499      0.699     -0.416      0.521 
