   DATE        X           sigma      Y         sigma 
47904.2620      0.592      0.125     -0.238      0.134 
47907.1670     -0.541      0.471     -1.019      0.565 
47908.1730      0.497      0.465      1.155      0.882 
47909.2310     -0.210      0.161      0.748      0.337 
47910.3380      0.351      0.112      0.018      0.163 
47912.1620     -0.646      0.392     -0.706      0.460 
47913.1730     -0.427      0.341     -1.055      0.457 
47914.2510      0.501      0.130     -0.457      0.126 
47915.3120      0.549      0.173     -0.213      0.251 
47916.3510     -0.289      0.294      0.501      0.287 
47917.1620     -0.252      0.320     -0.965      0.360 
47918.1740      0.170      0.296      0.289      0.400 
47919.2440      0.570      0.351     -0.559      0.533 
47921.0960      0.024      0.122     -0.268      0.144 
47922.1670     -0.211      0.340      0.093      0.503 
47923.0830     -0.107      0.387     -0.088      0.276 
47924.2470     -0.061      0.188      0.378      0.248 
47927.1600      0.126      0.292     -0.967      0.465 
47928.1670      0.244      0.260      0.122      0.372 
47929.2490      0.067      0.153     -0.146      0.126 
47930.3310     -0.329      0.202     -0.650      0.252 
47931.0830     -0.177      0.344      0.739      0.412 
47932.1650     -0.303      0.300     -0.689      0.454 
47933.1730      0.092      0.312      0.402      0.403 
47934.2510      0.084      0.320      0.725      0.496 
47935.2730      0.145      0.070      0.009      0.110 
47937.0840      0.231      0.166     -0.320      0.171 
47938.1670      0.172      0.121      0.093      0.166 
47939.2580      0.402      0.152     -0.389      0.122 
47940.2490      0.269      0.171     -0.143      0.232 
47941.1870      0.209      0.138     -0.273      0.198 
47942.1240     -0.169      0.261     -0.463      0.280 
47943.1820     -0.099      0.151     -0.369      0.238 
47944.2490      0.343      0.195     -0.176      0.139 
47949.2470      0.423      0.292     -0.289      0.186 
47951.0810      0.183      0.152     -0.212      0.197 
47954.2510      0.128      0.157     -0.258      0.123 
47958.0980      0.155      0.137      0.053      0.196 
47959.2510      0.059      0.146     -0.126      0.120 
47964.2480     -0.102      0.174     -0.275      0.154 
47965.2920     -0.358      0.225     -0.034      0.282 
47965.8470     -0.899      2.011     -0.305      1.000 
47966.4170     -0.015      0.180     -0.285      0.128 
47969.2510      0.065      0.193     -0.357      0.163 
47972.1010      0.185      0.133     -0.260      0.201 
47973.4050      0.086      0.060     -0.015      0.071 
47974.2480     -0.046      0.134     -0.329      0.123 
47978.1670     -0.121      0.063     -0.316      0.085 
47979.2490      0.436      0.191     -0.567      0.155 
47980.3310      0.085      0.105     -0.196      0.086 
47984.2480      0.047      0.136     -0.196      0.141 
47985.2870     -0.330      0.324      0.256      0.354 
47986.0690      0.070      0.139      0.356      0.199 
47989.2470      0.134      0.158     -0.072      0.169 
47993.0820     -0.285      0.140     -0.216      0.179 
47994.2500      0.009      0.119     -0.315      0.145 
47995.3400      0.207      0.191     -0.470      0.118 
47998.1650     -0.019      0.161      0.054      0.157 
47999.2490     -0.028      0.131     -0.629      0.150 
48000.0670     -0.093      0.194     -0.183      0.293 
48001.1670      0.391      0.105     -0.218      0.148 
48004.2470      0.136      0.141      0.119      0.187 
48005.3350      0.095      0.097     -0.396      0.124 
48007.0840     -0.043      0.154     -0.437      0.166 
48007.8330     -0.085      0.479      0.329      0.431 
48009.2470     -0.191      0.133     -0.328      0.154 
48013.1610     -0.376      0.195      0.175      0.166 
48014.2490     -0.064      0.106     -0.370      0.132 
48015.3330     -0.460      0.276     -0.293      0.196 
48018.1670      0.237      0.171     -0.281      0.185 
48019.2500      0.132      0.125     -0.008      0.172 
48020.2690      0.179      0.141     -0.057      0.115 
48022.1720     -0.043      0.508     -0.180      0.396 
48024.2490      0.256      0.135     -0.290      0.172 
48026.1680     -0.193      0.108      0.090      0.078 
48026.8310      0.143      0.420      0.388      0.606 
48029.2490      0.039      0.114      0.120      0.156 
48033.1730      0.002      0.085     -0.195      0.106 
48034.2460     -0.409      0.230     -0.337      0.182 
48035.3330     -0.111      0.081     -0.190      0.079 
48036.3330     -0.125      0.079     -0.061      0.077 
48039.2470     -0.121      0.127      0.394      0.164 
48041.2690     -0.506      0.207      0.084      0.236 
48044.2490      0.052      0.125     -0.312      0.151 
48047.2440     -0.069      0.207     -0.350      0.194 
48049.2500      0.114      0.152     -0.629      0.181 
48051.1660      0.111      0.258     -0.174      0.224 
48052.1720     -0.320      0.292      0.087      0.236 
48053.1690      0.017      0.359     -0.472      0.246 
48054.2490      0.019      0.126     -0.418      0.149 
48055.3190     -0.123      0.170     -0.029      0.202 
48059.2510      0.139      0.130     -0.128      0.145 
48061.1640     -0.481      0.221     -0.698      0.210 
48061.8330      0.193      0.510     -0.193      0.671 
48063.1670     -0.112      0.192     -0.416      0.195 
48064.2510      0.168      0.149      0.072      0.166 
48065.3340     -0.182      0.103     -0.547      0.093 
48068.1630      0.086      0.129     -0.099      0.145 
48069.2330     -0.376      0.200     -0.142      0.215 
48071.0430      0.004      0.127     -0.101      0.095 
48072.1650     -0.204      0.170     -0.220      0.209 
48073.1630     -0.081      0.157     -0.410      0.191 
48074.2490     -0.301      0.147      0.084      0.128 
48075.3310      0.028      0.180     -0.662      0.217 
48078.1670     -0.200      0.290      0.085      0.229 
48079.2490     -0.047      0.124     -0.156      0.128 
48082.1650     -0.579      0.177     -0.343      0.226 
