   DATE        X           sigma      Y         sigma 
47904.2620      0.259      0.099      0.016      0.107 
47909.2540      0.098      0.106      0.155      0.117 
47910.3380      0.235      0.107      0.074      0.113 
47912.1600     -0.538      0.319     -0.549      0.312 
47913.1730     -0.433      0.257     -0.860      0.265 
47914.2520      0.081      0.107     -0.363      0.117 
47918.1750      0.456      0.258     -0.527      0.245 
47919.2500      0.645      0.098     -0.271      0.106 
47921.0960     -0.403      0.090     -0.081      0.114 
47922.1670      0.140      0.355      0.119      0.330 
47924.2480      0.071      0.137      0.221      0.145 
47927.1610      0.168      0.333     -1.138      0.292 
47928.1680      0.276      0.272     -0.927      0.264 
47929.2500      0.234      0.109     -0.215      0.122 
47930.3310     -0.076      0.118     -0.504      0.147 
47933.1740      0.526      0.275     -0.547      0.275 
47934.2530      0.122      0.116     -0.169      0.122 
47935.2730      0.007      0.068      0.073      0.064 
47936.2120     -0.426      0.203     -0.092      0.178 
47938.1670      0.156      0.118     -0.049      0.121 
47939.2580      0.319      0.114     -0.302      0.125 
47940.2500     -0.277      0.149     -0.229      0.133 
47941.1880     -0.471      0.139     -0.398      0.136 
47942.1220     -0.501      0.210     -0.492      0.236 
47944.2500      0.471      0.122     -0.123      0.139 
47949.2450      0.166      0.150     -0.376      0.186 
47954.2510      0.035      0.110     -0.180      0.119 
47959.2520     -0.050      0.105     -0.115      0.113 
47964.2480     -0.017      0.128     -0.122      0.140 
47965.2880     -0.113      0.152     -0.050      0.139 
47966.4170      0.090      0.169     -0.206      0.183 
47969.2510     -0.388      0.144     -0.241      0.148 
47973.4060     -0.038      0.060      0.212      0.072 
47974.2490     -0.307      0.106     -0.365      0.116 
47979.2540     -0.200      0.118     -0.254      0.129 
47980.3310     -0.226      0.092     -0.373      0.085 
47984.2490      0.227      0.121      0.054      0.136 
47985.2870     -0.194      0.247     -0.374      0.265 
47989.2470     -0.264      0.137     -0.050      0.146 
47994.2520     -0.048      0.106     -0.181      0.116 
47995.3430     -0.046      0.094     -0.201      0.115 
47999.2490     -0.044      0.109     -0.454      0.117 
48000.3340     -0.130      0.146     -0.217      0.159 
48001.1680      0.108      0.100     -0.074      0.102 
48004.2480      0.022      0.131     -0.122      0.126 
48005.3360     -0.005      0.081      0.004      0.100 
48008.1670     -0.499      0.078     -0.589      0.077 
48009.2470     -0.223      0.123     -0.150      0.128 
48014.2490     -0.058      0.096     -0.139      0.099 
48015.3350     -0.094      0.190     -0.054      0.202 
48018.1730     -0.111      0.100     -0.034      0.107 
48019.2510     -0.018      0.111      0.095      0.144 
48020.2700      0.096      0.135      0.502      0.142 
48024.2490      0.229      0.125     -0.385      0.133 
48026.1690      0.078      0.084     -0.323      0.084 
48029.2490     -0.149      0.146      0.324      0.160 
48033.1730     -0.070      0.075     -0.092      0.081 
48034.2530     -0.324      0.098     -0.028      0.103 
48035.3330     -0.169      0.061     -0.108      0.059 
48036.3330     -0.111      0.063      0.079      0.060 
48039.2480     -0.364      0.125      0.038      0.128 
48044.2500      0.031      0.117     -0.162      0.119 
48049.2510     -0.029      0.143     -0.223      0.143 
48052.1730     -0.009      0.186     -0.313      0.203 
48053.1700      0.007      0.171     -0.815      0.212 
48054.2500      0.067      0.112     -0.303      0.113 
48059.2520     -0.188      0.107      0.121      0.112 
48061.1650     -0.427      0.174     -0.732      0.178 
48062.1670     -0.141      0.168     -0.041      0.176 
48063.1660     -0.312      0.148     -0.833      0.154 
48064.2510     -0.042      0.122     -0.012      0.119 
48065.3350     -0.025      0.089     -0.437      0.093 
48068.1640     -0.332      0.100      0.211      0.105 
48069.2520     -0.202      0.110      0.310      0.112 
48071.0420     -0.014      0.087     -0.246      0.089 
48072.1660     -0.037      0.138     -0.459      0.160 
48073.1640     -0.393      0.128     -0.647      0.141 
48074.2490     -0.267      0.109     -0.100      0.116 
48075.3310      0.066      0.137     -1.164      0.147 
48079.2490     -0.201      0.105      0.344      0.113 
48082.1660     -0.284      0.153     -0.586      0.156 
48083.1660      0.232      0.141     -0.936      0.146 
48084.2460     -0.059      0.109      0.167      0.113 
48085.1750     -0.242      0.173      0.056      0.167 
48086.4110      0.038      0.263      0.270      0.275 
48089.2450      0.201      0.150     -0.042      0.149 
48092.0900     -0.318      0.123     -0.362      0.143 
48094.2490     -0.063      0.165      0.141      0.153 
48096.0450      0.520      0.125     -0.629      0.113 
48097.1670      0.082      0.264     -0.522      0.282 
48098.1770      0.076      0.198     -0.011      0.203 
48099.2490     -0.247      0.124     -0.493      0.132 
48100.3370     -0.320      0.240     -0.016      0.248 
48103.1670     -0.169      0.160     -0.070      0.165 
48104.2670     -0.923      0.186      0.108      0.212 
48105.3330     -0.174      0.199      0.048      0.200 
48106.3320     -0.072      0.220      0.074      0.210 
48107.3370      0.178      0.237      0.192      0.232 
48112.3340      0.161      0.273      0.008      0.264 
48113.2610     -0.756      0.290      0.098      0.289 
48117.2140     -0.494      0.169     -0.131      0.176 
48119.2490      0.126      0.143     -0.069      0.149 
48120.3420     -0.187      0.113     -0.198      0.101 
48124.2520     -0.335      0.087     -0.280      0.091 
48129.2500     -0.187      0.189     -0.342      0.199 
48139.2560     -0.310      0.162      0.603      0.169 
48140.2430     -0.492      0.280     -0.347      0.277 
48143.1630     -0.397      0.123      0.214      0.128 
48145.3330      0.072      0.123     -0.278      0.115 
48162.1670     -0.114      0.110      0.186      0.122 
48169.2510     -0.237      0.152      0.371      0.152 
48170.3390     -0.132      0.069      0.188      0.075 
48174.2570     -0.111      0.133      0.259      0.132 
48175.3310     -0.185      0.117      0.579      0.126 
48183.1590     -0.189      0.104      0.112      0.112 
48190.3320     -0.135      0.093     -0.177      0.085 
48192.1680     -0.245      0.214     -0.410      0.214 
48193.1680      0.098      0.151      0.312      0.150 
48199.2470      0.042      0.127      0.153      0.125 
48201.3340     -0.506      0.421      0.245      0.433 
48204.2460      0.139      0.122     -0.017      0.112 
48209.2490     -0.009      0.101      0.381      0.103 
48214.2490     -0.037      0.116      0.034      0.113 
48219.2470     -0.137      0.105      0.148      0.108 
48222.0770     -0.040      0.082      0.111      0.091 
48224.2520      0.001      0.137      0.452      0.138 
48225.3500     -0.548      0.072     -0.453      0.067 
48229.2500      0.166      0.166     -0.047      0.158 
48234.2560      0.196      0.120      0.095      0.114 
48236.2490     -0.054      0.082      0.499      0.086 
48239.2500     -0.264      0.111      0.189      0.107 
48240.3340      0.014      0.077     -0.003      0.074 
48243.1700      0.068      0.131      0.248      0.122 
48244.2520      0.109      0.105      0.138      0.103 
48248.5160      0.438      0.204     -0.314      0.180 
48252.3230      0.282      0.115      0.206      0.112 
48254.2500      0.188      0.119     -0.220      0.118 
48259.2500      0.064      0.105      0.262      0.102 
48262.7330     -0.134      0.270      0.507      0.265 
48264.2510      0.016      0.106      0.134      0.103 
48267.1690     -0.396      0.152     -0.159      0.147 
48269.2520     -0.059      0.125      0.076      0.130 
48273.1710      0.042      0.154      0.290      0.164 
48274.2490      0.175      0.106      0.026      0.102 
48279.2500      0.284      0.087      0.125      0.085 
48284.2520      0.039      0.105      0.010      0.099 
48287.2490      0.562      0.148     -0.444      0.134 
48289.2430      0.434      0.108      0.113      0.116 
48292.2520      0.264      0.120      0.432      0.117 
48294.2500      0.150      0.100     -0.026      0.097 
48299.2480      0.446      0.093     -0.033      0.092 
48300.3330     -0.011      0.081      0.269      0.077 
48301.4180     -0.083      0.083     -0.212      0.091 
48304.2570      0.519      0.136     -0.016      0.157 
48309.2470      0.077      0.092     -0.023      0.091 
48312.2470     -0.060      0.097     -0.236      0.114 
48314.2470      0.005      0.100      0.009      0.098 
48315.3310     -0.287      0.201      0.281      0.183 
48316.4170     -0.039      0.172     -0.086      0.185 
48319.2500      0.088      0.155     -0.179      0.192 
48324.2530      0.194      0.094     -0.026      0.092 
48329.2520     -0.078      0.106      0.068      0.105 
48330.3340      0.026      0.061      0.091      0.059 
48331.4250     -0.276      0.195     -0.091      0.199 
48334.2500      0.000      0.122     -0.168      0.121 
48339.2470      0.149      0.113     -0.080      0.114 
48339.9380     -0.018      0.112      0.047      0.100 
48341.1670      0.459      0.096     -0.230      0.116 
48344.2500     -0.207      0.121      0.121      0.115 
48348.1660     -0.038      0.149     -0.376      0.176 
48349.2550      0.737      0.135      0.008      0.127 
48354.2500      0.453      0.157     -0.041      0.164 
48359.2520      0.184      0.105     -0.173      0.103 
48361.9300     -0.023      0.083     -0.021      0.090 
48364.2450      0.105      0.113     -0.312      0.112 
48365.3340      0.191      0.069     -0.061      0.065 
48368.8330      0.297      0.107     -0.264      0.102 
48370.3360      0.208      0.089     -0.405      0.099 
48375.8320      0.190      0.117      0.039      0.117 
48378.2510      0.156      0.184      0.103      0.180 
48382.8330      0.049      0.107     -0.302      0.107 
48384.1660      0.100      0.093     -0.429      0.109 
48389.8320      0.253      0.102     -0.190      0.102 
48390.9130     -0.277      0.095     -0.128      0.100 
