   DATE        X           sigma      Y         sigma 
47904.2550      0.472      0.067     -0.249      0.070 
47909.2470      0.212      0.065     -0.073      0.066 
47910.3440      0.275      0.075     -0.174      0.111 
47914.2490      0.648      0.067     -0.456      0.066 
47919.2450      0.524      0.055     -0.092      0.052 
47921.0950      0.054      0.068     -0.155      0.077 
47924.2280     -0.267      0.125      1.043      0.162 
47929.2480     -0.003      0.070     -0.210      0.058 
47934.2490     -0.255      0.098     -0.102      0.077 
47935.2710      0.078      0.046     -0.084      0.067 
47936.2090     -0.269      0.209     -0.173      0.257 
47939.2550      0.430      0.089     -0.274      0.071 
47940.2570     -0.097      0.169      0.027      0.239 
47941.1890      0.006      0.097     -0.376      0.131 
47942.1110     -0.235      0.160     -0.286      0.165 
47944.2380      0.397      0.094     -0.196      0.072 
47949.2430      0.334      0.195     -0.242      0.127 
47954.2470      0.150      0.090     -0.250      0.071 
47959.2460      0.011      0.071     -0.188      0.060 
47964.2470      0.151      0.121     -0.124      0.107 
47969.2640      0.152      0.144     -0.267      0.123 
47973.4010      0.057      0.039     -0.007      0.044 
47974.2430      0.075      0.075     -0.282      0.070 
47978.1560     -0.160      0.060     -0.373      0.076 
47979.2470      0.109      0.093     -0.115      0.094 
47984.2440      0.183      0.074     -0.038      0.074 
47989.2430      0.152      0.082      0.063      0.090 
47994.2470      0.091      0.069     -0.294      0.082 
47995.3480      0.044      0.273     -0.556      0.185 
47999.2380      0.000      0.057     -0.718      0.064 
48004.2580      0.341      0.083      0.096      0.110 
48005.3310      0.089      0.057     -0.276      0.074 
48009.2440     -0.066      0.073     -0.361      0.085 
48014.2480     -0.094      0.078     -0.233      0.092 
48019.2330      0.237      0.088     -0.130      0.116 
48020.2710      0.272      0.122      0.005      0.100 
48024.2470      0.212      0.092     -0.049      0.116 
48029.2470      0.054      0.063      0.084      0.082 
48033.1670     -0.028      0.044     -0.179      0.052 
48034.2550     -0.244      0.049     -0.185      0.061 
48035.3380     -0.077      0.061     -0.218      0.059 
48036.3410     -0.090      0.038     -0.104      0.038 
48039.2500      0.037      0.069      0.285      0.090 
48044.2530      0.044      0.074     -0.265      0.090 
48049.2530      0.014      0.079     -0.548      0.096 
48054.2510     -0.036      0.061     -0.176      0.071 
48059.2570     -0.121      0.082     -0.029      0.092 
48064.2490      0.091      0.084      0.265      0.093 
48065.3350     -0.170      0.118     -0.478      0.106 
48068.1650     -0.058      0.088     -0.055      0.098 
48069.2540     -0.145      0.067      0.138      0.074 
48071.2350     -0.088      0.053     -0.197      0.041 
48074.2590     -0.160      0.076      0.132      0.069 
48079.2540     -0.148      0.078      0.005      0.080 
48084.2500      0.374      0.094     -0.021      0.093 
48089.2490      0.388      0.185     -0.497      0.191 
48092.1020     -0.270      0.111     -0.354      0.118 
48094.2380      0.162      0.088     -0.312      0.099 
48099.2530     -0.187      0.098     -0.047      0.085 
48103.1990     -0.389      0.111     -0.078      0.152 
48111.2300     -0.190      0.106     -0.357      0.155 
48114.2480      0.212      0.154      0.470      0.115 
48119.2500      0.041      0.120     -0.300      0.094 
48124.2570     -0.297      0.057     -0.058      0.060 
48126.2430      0.274      0.125     -0.791      0.139 
48132.2670      0.201      0.210     -0.354      0.203 
48134.2460      0.282      0.105      0.152      0.084 
48139.2510      0.497      0.149      0.355      0.117 
48144.2530     -0.178      0.090      0.223      0.076 
48146.4120     -0.001      0.099     -0.212      0.085 
48149.2530     -0.290      0.097     -0.039      0.077 
48154.2510      0.256      0.114      0.291      0.097 
48159.2480      0.222      0.063      0.230      0.057 
48160.3440      0.006      0.131      0.036      0.100 
48162.1680      0.305      0.120      0.000      0.105 
48164.2530      0.514      0.080      0.007      0.081 
48169.2570     -0.199      0.098      0.125      0.099 
48170.3470      0.018      0.073     -0.064      0.065 
48174.2520     -0.095      0.076      0.033      0.075 
48175.3470      0.004      0.122      0.298      0.112 
48179.2540      0.001      0.055      0.392      0.058 
48183.1640      0.041      0.087     -0.130      0.089 
48184.2520      0.162      0.075     -0.008      0.088 
48189.2480      0.448      0.053      0.105      0.063 
48194.2470      0.079      0.064      0.426      0.072 
48199.2530      0.175      0.061     -0.132      0.079 
48204.2600      0.096      0.063     -0.150      0.099 
48209.2520      0.016      0.053      0.033      0.068 
48213.1580     -0.037      0.085     -0.127      0.103 
48214.2510      0.122      0.056      0.046      0.072 
48219.2470     -0.105      0.048      0.191      0.066 
48222.0800     -0.138      0.049     -0.103      0.060 
48224.2500      0.039      0.074      0.254      0.105 
48229.2560      0.216      0.082      0.258      0.123 
48234.2580      0.378      0.056      0.149      0.076 
48236.2430      0.035      0.054      0.351      0.059 
48239.2510      0.021      0.059      0.438      0.080 
48243.1740      0.314      0.556      0.502      0.438 
48244.2480      0.003      0.045     -0.084      0.054 
48248.5170      0.064      0.178     -0.065      0.116 
48252.3460      0.668      0.138      0.170      0.149 
48254.2490      0.003      0.055      0.077      0.066 
48259.2570      0.289      0.053      0.277      0.056 
48264.2480      0.272      0.045      0.054      0.048 
48273.1710     -0.129      0.116     -0.048      0.127 
48274.2440      0.354      0.050     -0.144      0.051 
48279.2430      0.287      0.046      0.156      0.046 
48284.2450      0.087      0.051     -0.038      0.045 
