   DATE        X           sigma      Y         sigma 
47904.2620      0.455      0.102     -0.059      0.110 
47908.1730      0.547      0.460      0.929      0.867 
47909.2320     -0.452      0.173      0.790      0.346 
47910.3390      0.239      0.115      0.022      0.166 
47912.1630     -0.693      0.390     -0.577      0.464 
47913.1730     -0.403      0.361     -1.056      0.497 
47914.2520      0.229      0.107     -0.627      0.104 
47915.3120      0.511      0.179     -0.406      0.255 
47916.3520     -0.412      0.272      0.406      0.261 
47917.1620      0.035      0.337     -1.250      0.391 
47918.1750     -0.106      0.316      0.239      0.413 
47919.2440      0.539      0.423     -0.403      0.630 
47921.0960     -0.145      0.102     -0.278      0.111 
47922.1670     -0.293      0.335      0.081      0.490 
47923.0840     -0.278      0.355     -0.065      0.260 
47924.2480      0.089      0.149      0.378      0.208 
47927.1610      0.019      0.295     -0.950      0.463 
47928.1680      0.347      0.277     -0.032      0.383 
47929.2500      0.061      0.128     -0.225      0.107 
47930.3310     -0.524      0.137     -0.390      0.183 
47931.0830      0.372      0.476     -0.185      0.578 
47932.1650     -0.994      0.309     -0.210      0.471 
47933.1730      0.257      0.330      0.324      0.437 
47934.2510      0.280      0.467      0.782      0.633 
47935.2730     -0.023      0.067      0.044      0.105 
47936.2090     -0.018      0.272     -0.046      0.342 
47937.0840      0.056      0.162     -0.310      0.170 
47938.1670      0.039      0.119      0.213      0.163 
47939.2580      0.276      0.121     -0.391      0.098 
47940.2500      0.018      0.146     -0.176      0.213 
47940.7620      0.283      0.128     -0.703      0.253 
47942.1250     -0.245      0.241     -0.223      0.258 
47943.1820     -0.093      0.132     -0.522      0.207 
47944.2500      0.113      0.162     -0.209      0.121 
47945.9490     -0.394      0.585      0.254      0.829 
47949.2470      0.311      0.262     -0.353      0.165 
47951.0820      0.125      0.147     -0.284      0.189 
47954.2520      0.034      0.135     -0.321      0.108 
47958.0980      0.062      0.131      0.041      0.190 
47959.2520      0.088      0.126     -0.099      0.106 
47964.2480      0.006      0.121     -0.124      0.110 
47965.2930     -0.376      0.222     -0.075      0.279 
47965.8470     -1.183      0.931     -0.989      0.559 
47966.4170     -0.034      0.196     -0.293      0.137 
47969.2510      0.059      0.208     -0.380      0.177 
47972.1010      0.272      0.126     -0.523      0.191 
47973.4050      0.027      0.065     -0.062      0.075 
47974.2480      0.020      0.113     -0.366      0.108 
47978.1680     -0.194      0.055     -0.299      0.073 
47979.2500      0.253      0.186     -0.633      0.152 
47980.3310      0.114      0.111     -0.250      0.091 
47984.2480      0.062      0.121     -0.021      0.118 
47985.2870     -0.248      0.259     -0.191      0.275 
47986.0690     -0.017      0.134      0.093      0.192 
47989.2470     -0.031      0.141      0.011      0.150 
47991.9710     -0.334      0.332     -0.063      0.255 
47993.0820     -0.447      0.144     -0.200      0.180 
47994.2500     -0.032      0.112     -0.340      0.126 
47995.2020     -0.035      1.094      0.423      0.704 
47995.9140      2.117      3.252      0.285      6.496 
47998.1650     -0.209      0.160      0.077      0.151 
47999.2490      0.029      0.107     -0.610      0.119 
48000.0680     -0.178      0.172     -0.192      0.261 
48001.1680      0.303      0.107     -0.279      0.151 
48004.2480      0.160      0.126     -0.006      0.170 
48005.3360      0.027      0.075     -0.470      0.097 
48007.0840     -0.188      0.157     -0.355      0.163 
48007.8330     -0.435      0.436      0.120      0.402 
48009.2470     -0.292      0.118     -0.425      0.133 
48013.1610     -0.319      0.158     -0.180      0.143 
48014.2490     -0.150      0.107     -0.326      0.121 
48015.3330     -0.465      0.274     -0.355      0.195 
48018.1670      0.165      0.149     -0.343      0.160 
48019.2500      0.131      0.130     -0.099      0.164 
48020.2690      0.048      0.121     -0.155      0.098 
48022.1720      0.039      0.538     -0.855      0.411 
48024.2490      0.190      0.114     -0.317      0.140 
48026.1680     -0.380      0.092      0.077      0.068 
48026.8310      0.319      0.244      0.728      0.340 
48029.2490     -0.100      0.103      0.164      0.138 
48033.1730     -0.087      0.072     -0.248      0.087 
48034.2460     -0.445      0.221     -0.357      0.179 
48035.3330     -0.078      0.079     -0.213      0.078 
48036.3330     -0.123      0.075     -0.110      0.075 
48039.2480     -0.103      0.112      0.031      0.147 
48041.2700     -0.599      0.176      0.060      0.216 
48043.3200     -0.568      3.023      4.224      1.997 
48044.2500      0.130      0.103     -0.350      0.125 
48047.2450      0.004      0.197     -0.387      0.184 
48049.2500      0.017      0.128     -0.681      0.153 
48051.1660      0.087      0.251     -0.499      0.224 
48052.1730     -0.477      0.308     -0.171      0.253 
48053.1700      0.023      0.371     -0.535      0.256 
48054.2490     -0.029      0.112     -0.458      0.134 
48055.3200      0.195      0.150      0.311      0.184 
48059.2520      0.012      0.107     -0.101      0.121 
48061.1640     -0.441      0.243     -0.778      0.224 
48061.8340      0.401      0.293     -0.968      0.354 
48063.1670     -0.289      0.210     -0.427      0.210 
48064.2510      0.156      0.129      0.021      0.141 
48065.3340     -0.319      0.095     -0.507      0.083 
48068.1640     -0.061      0.078     -0.186      0.086 
48069.2340     -0.349      0.182      0.031      0.206 
48071.0430     -0.135      0.115     -0.226      0.081 
48072.1660     -0.430      0.179     -0.246      0.215 
48073.1640     -0.029      0.156     -0.524      0.188 
48074.2490     -0.219      0.112      0.088      0.104 
48075.3310     -0.118      0.179     -0.810      0.217 
48078.1680     -0.340      0.297      0.102      0.242 
48079.2490      0.018      0.105     -0.294      0.108 
48082.1660     -0.595      0.172     -0.157      0.224 
48083.1660     -0.037      0.161     -0.654      0.215 
48084.2460      0.098      0.112     -0.255      0.113 
48085.1680     -0.171      0.215     -0.337      0.293 
48086.4140      0.501      0.337      0.142      0.316 
48089.2450      0.207      0.138     -0.453      0.138 
48089.8300     -0.845      0.310     -0.844      0.258 
48090.3630     -0.420      0.200     -0.207      0.185 
48092.0900     -0.520      0.106     -0.430      0.120 
48093.1660     -0.339      0.153     -0.163      0.104 
48094.2490      0.235      0.154     -0.482      0.176 
48096.0450     -0.403      0.165     -0.512      0.125 
48097.1670     -0.558      0.219     -0.400      0.251 
48098.1770      0.233      0.194      0.259      0.243 
48099.2480     -0.598      0.141     -0.394      0.125 
48100.3360     -0.181      0.283     -0.059      0.288 
48102.5870     -5.602      1.320    -10.670      1.663 
48103.1670     -0.272      0.170     -0.108      0.237 
48104.2520     -0.092      0.152     -0.035      0.195 
48105.3330      0.356      0.300     -0.328      0.240 
48106.3320     -0.187      0.332      0.136      0.251 
48107.3370      0.135      0.326     -0.336      0.247 
48109.2590     -0.707      0.405      0.925      0.403 
48110.4360     -1.632      1.160      3.822      1.729 
48111.2510     -0.381      0.128     -0.018      0.184 
48111.8360     -0.681      0.389      0.528      0.244 
48113.2610      0.317      0.457     -0.750      0.478 
48114.2500     -0.385      0.225      0.651      0.154 
48115.3320     -0.548      0.218     -0.319      0.269 
48117.2390     -0.321      0.189     -0.418      0.153 
48118.2480     -0.508      0.210     -0.276      0.234 
48119.2480      0.114      0.163     -0.291      0.130 
48120.3420     -0.614      0.159      0.170      0.117 
48124.2520     -0.376      0.088     -0.050      0.094 
48126.2470      0.085      0.164     -0.169      0.174 
48129.2500     -0.300      0.236     -0.454      0.177 
48132.2680     -0.079      0.182     -0.821      0.173 
48134.2460      0.247      0.189      0.049      0.139 
48139.2560      0.572      0.191      0.557      0.144 
48140.2430     -0.537      0.263     -0.237      0.396 
