   DATE        X           sigma      Y         sigma 
47904.2620      0.562      0.124     -0.124      0.133 
47907.1670     -0.334      0.489     -0.994      0.618 
47908.1730      0.081      0.514     -0.272      1.019 
47909.2310     -0.230      0.165      0.703      0.353 
47910.3380      0.362      0.112     -0.006      0.162 
47912.1620     -0.607      0.432     -0.572      0.514 
47913.1730     -0.376      0.372     -1.320      0.527 
47914.2510      0.440      0.134     -0.475      0.130 
47915.3120      0.543      0.170     -0.144      0.247 
47916.3510     -0.427      0.268      0.668      0.262 
47917.1620     -0.444      0.345     -1.036      0.412 
47918.1740     -0.088      0.328      0.282      0.454 
47919.2440      0.381      0.268     -0.466      0.424 
47921.0960      0.031      0.117     -0.248      0.137 
47922.1670      0.092      0.350      0.338      0.550 
47923.0830      0.138      0.375     -0.163      0.260 
47924.2470     -0.032      0.184      0.444      0.243 
47927.1600      0.159      0.309     -1.109      0.496 
47928.1670      0.420      0.291      0.119      0.401 
47929.2490      0.089      0.151     -0.114      0.124 
47930.3310     -0.310      0.201     -0.571      0.249 
47931.0830     -0.179      0.336      0.590      0.427 
47932.1650     -0.220      0.326     -0.683      0.513 
47933.1730     -0.090      0.343      0.280      0.455 
47934.2510      0.265      0.340      0.744      0.489 
47935.2730      0.162      0.072     -0.001      0.112 
47936.2090     -0.018      0.276      0.080      0.366 
47937.0840      0.113      0.162     -0.327      0.165 
47938.1670      0.216      0.126      0.147      0.173 
47939.2580      0.339      0.151     -0.274      0.120 
47940.2490      0.221      0.170     -0.167      0.230 
47941.1870      0.160      0.143     -0.299      0.203 
47942.1240     -0.113      0.250     -0.446      0.263 
47943.1820     -0.170      0.142     -0.494      0.238 
47944.2490      0.236      0.196     -0.208      0.141 
47949.2470      0.400      0.283     -0.242      0.179 
47951.0810      0.109      0.158     -0.098      0.199 
47954.2510      0.103      0.154     -0.222      0.121 
47958.0980      0.169      0.136      0.086      0.201 
47959.2510      0.098      0.147     -0.151      0.122 
47964.2480      0.120      0.173     -0.223      0.159 
47965.2920     -0.497      0.227     -0.200      0.279 
47966.4170      0.056      0.188     -0.275      0.131 
47969.2510      0.592      0.279     -0.170      0.256 
47972.1010      0.102      0.133     -0.310      0.198 
47973.4050      0.114      0.060     -0.039      0.069 
47974.2480      0.020      0.133     -0.309      0.124 
47978.1670     -0.057      0.064     -0.331      0.088 
47979.2490      0.417      0.186     -0.489      0.151 
47980.3310      0.119      0.106     -0.135      0.085 
47984.2480      0.077      0.134     -0.161      0.136 
47985.2870     -0.316      0.299      0.061      0.323 
47986.0690      0.030      0.126      0.158      0.182 
47989.2470      0.158      0.158     -0.046      0.170 
47993.0820     -0.286      0.136     -0.201      0.175 
47994.2500      0.075      0.115     -0.269      0.143 
47995.3400      0.213      0.184     -0.484      0.112 
47998.1650     -0.106      0.170     -0.028      0.158 
47999.2490     -0.048      0.122     -0.618      0.143 
48000.0670     -0.099      0.187     -0.262      0.281 
48001.1670      0.377      0.104     -0.223      0.147 
48004.2470      0.120      0.131      0.122      0.184 
48005.3350      0.077      0.096     -0.397      0.121 
48007.0840     -0.106      0.155     -0.339      0.160 
48008.1670     -0.176      0.097     -0.132      0.079 
48009.2470     -0.106      0.127     -0.293      0.150 
48013.1610     -0.307      0.166      0.019      0.146 
48014.2490     -0.050      0.107     -0.302      0.132 
48015.3330     -0.375      0.277     -0.326      0.197 
48018.1670      0.199      0.149     -0.257      0.159 
48019.2500      0.141      0.124     -0.003      0.168 
48020.2690      0.111      0.133     -0.070      0.108 
48022.1720     -0.025      0.531     -0.678      0.408 
48024.2490      0.238      0.128     -0.260      0.164 
48026.1680     -0.253      0.117      0.135      0.086 
48027.2580     -0.424      0.167     -0.211      0.139 
48029.2490      0.051      0.117     -0.003      0.162 
48033.1730     -0.022      0.082     -0.183      0.102 
48034.2460     -0.421      0.221     -0.401      0.179 
48039.2470     -0.081      0.122      0.443      0.155 
48041.2690     -0.350      0.187      0.082      0.217 
48044.2490      0.095      0.119     -0.305      0.145 
48047.2440     -0.223      0.211     -0.540      0.188 
48049.2500      0.092      0.148     -0.653      0.176 
48051.1660      0.161      0.263     -0.304      0.228 
48052.1720     -0.321      0.321     -0.019      0.268 
48053.1690      0.019      0.359     -0.495      0.244 
48054.2490      0.045      0.122     -0.324      0.141 
48055.3190      0.052      0.156      0.167      0.185 
48059.2510      0.164      0.128     -0.096      0.142 
48061.1640     -0.437      0.248     -0.742      0.236 
48062.1670     -0.218      0.236      0.121      0.235 
