%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
50065.333    0.064938078845   -0.479700004519    1.4228    4.2904  -0.869    8
50198.335    0.000000000000    1.429297198996    1.3611    4.6687  -0.848    3
50205.333    1.020973461902    1.358297998877    2.7136    6.1672  -0.941    4
50484.253   -0.339250161832    0.000000000000    1.1483    3.3099  -0.773    3
50560.082   -1.296459823148    0.204699598072    1.0336    5.3497  -0.018    4
51297.270    5.107670764811   -4.953700803156    2.0704    4.5191  -0.918    3
53068.250    0.736971503706    1.063598399753    3.0600    7.5759  -0.812    4
57974.230   74.459976942035 -223.325902801008    0.7377    2.0573  -0.097   22
57978.131    0.006463491321    1.011797998984    0.3511    0.8648  -0.777   58
58305.026   -0.195410245140    1.050199198005    0.2673    0.6697  -0.602   52
58712.722   -2.151265545115   -1.118203200434    0.3325    0.8258  -0.672   53
