%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47010.922   -2.900014997493    8.444800801044    1.5540    8.2168   0.506    6
47274.253    1.277149949278   10.838199598595    0.9025    4.3756   0.262   13
47659.248    7.403040337873 -177.733101605781    0.6357    2.1566   0.099   16
47664.234    0.041856154991    1.398898788807    0.4470    1.5511   0.127   16
47914.255   -0.241715616474   -1.887102007458    0.5313    2.6208   0.166   20
48497.253    0.698002763100    1.043398800959    0.6726    1.6252   0.443    8
48649.255   -0.855861848909   -6.743599202252    0.7549    3.0225   0.614   19
49064.164    0.658004911081   -0.633402002848    0.8132    2.6839   0.007   12
49667.419    0.598861568681    0.513799191992    0.4629    1.3636   0.147   18
50255.288    0.661718008955    1.182398396793    0.3325    0.7426   0.002   19
50459.832   -0.010285857994   -0.107200801835    0.1424    0.2100  -0.015  153
51120.168   -0.602290317940   -1.054400406986    0.3247    0.5371   0.032   25
51883.083    0.200428548496    0.318499198215    0.0543    0.1356  -0.064  180
52767.244    0.067999271825    0.235000793225    0.0810    0.1302  -0.082  258
53045.207   -0.063144296959    0.326599189293    0.1748    0.3212   0.138   25
53285.253    0.025714352645   -0.203500806606    0.0694    0.1230   0.075  126
53389.206    0.594431849933    0.678898793183    0.2279    0.2902   0.394   22
53642.248    1.027147490394   -0.150300009238    0.2083    0.2139  -0.085   75
53732.205    0.807577154480    1.117900792735    0.4365    0.6781   0.305   15
53990.207    0.218572679604    0.591098395830    0.1432    0.3535   0.358   82
53992.249    0.775574585223    0.000000000000    0.1475    0.2354  -0.328  111
54326.208    0.380717653265    0.188398800560    0.2244    0.2289   0.121   35
54489.248    0.108713744717    0.386297995192    0.0931    0.1769  -0.013  188
54662.209    0.404001107853    0.488300395318    0.1610    0.2057  -0.129   39
54830.205    0.247431043109    1.004000390026    0.1468    0.6182   0.356   26
55040.206   -0.780576899055    3.282098394664    0.3222    0.8634  -0.274   62
55154.248    0.195285716946    0.441100800685    0.1090    0.2159  -0.029   63
55168.252   -0.117144612917    0.031499999409    0.0940    0.2035  -0.067  294
55432.207   -0.382431930448   -0.132102009331    0.2437    0.4313   0.175   25
55435.271    0.299573056094   -0.111999599994    0.5019    0.5765  -0.165   27
55509.209    0.015000120248    0.493199989648    0.3160    0.4361  -0.374   15
55768.208    0.469144420395   -0.754999199160    0.3001    0.6404   0.228   41
55845.206    0.405146298022    0.642398390482    0.1470    0.4731   0.138   48
