%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120965711474 -174.725999991665    0.6536    2.0286  -0.010   15
47664.234   -1.055959464648   -0.053100001196    0.4692    1.4446  -0.007   15
47919.244   -0.602425183660    6.251198406915    0.9671    3.7099   0.067   10
48111.253    0.519162128059   -0.355600796809    0.4784    0.5016   0.177   22
48126.246    1.367037739192    1.911600004689    0.5517    0.7260   0.138   17
48132.269   -1.936717821226   -3.575401197509    0.4921    0.6960   0.150   16
48146.415   -5.602485977939  -11.304799195955    0.9416    0.8617   0.457    6
48155.346    1.769771715017    0.819698408350    1.0283    1.5307   0.309    5
48160.346   -0.569119388699   -2.186398799608    0.7304    0.7354   0.386   15
48174.255    1.328133219881    4.003300807653    1.0570    5.1926   0.291   15
48357.336   -0.250064836252   -2.785201189681    0.9304    3.4971   0.356   11
48358.417   -1.056238379514   -3.453501599893    0.7784    2.5749   0.247   15
48371.249   -1.095001818684    0.698000403077    0.7509    2.1602   0.105   10
48384.270    1.694908177743    0.304700405707    0.4165    1.2485  -0.108    5
48406.261    0.157008451623    1.617998407255    0.7279    2.8974   0.185   12
48419.250   -2.600153006855   -2.656101591469    0.3539    0.5938   0.165    9
48454.270    2.781231563234   11.323101598748    0.4180    0.7198   0.177    7
48495.423   -0.349139749332    0.401698808616    0.4807    0.9575   0.378    6
48504.254   -1.383547933823   -3.478798791434    1.1317    1.5136   0.592    3
48524.255   -1.727092395128   -2.648401191152    1.5539    1.3424   0.698    4
48573.254    0.372511135123    2.121199203486    0.5266    1.1522   0.429    4
48580.256   -3.347973207473   -1.214701197227    0.7579    1.0365  -0.377    8
48636.252    0.616839794113    0.253900810776    0.5190    0.6145   0.494    7
48643.331   -0.003778236901   -0.671601590341    0.3718    0.7095  -0.155    9
48650.340    0.149592867054    0.224701204843    0.4816    0.6953   0.166    6
48664.248   -1.211288699870   -0.827398795877    0.7320    1.0589   0.315    4
48748.300   -0.054853829701   -0.816901196288    0.5921    1.1293   0.030    6
48776.081    1.143837119935   -1.867600794014    0.6871    0.9818   0.039   11
48787.411   -0.653782936741   -1.515398392371    0.7860    1.4869   0.059   22
48797.251    0.382025740192    0.271598410961    0.4874    1.2389   0.245    4
48812.251   -3.890086917223    7.223601608075    1.3334    2.6519   0.706    4
48821.332   -1.425669805794    0.310600799480    0.5440    0.4485  -0.143   20
48831.876   -2.817754901762   -2.103400794340    0.5152    0.6194   0.069    6
48833.125    1.227100366442    3.052000802484    0.3497    0.5781   0.253    9
48838.878    0.631670772344   -0.377301594767    0.4195    0.4577   0.371    8
