%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.031455866645 -311.286402002153    1.0197    3.5824   0.228   14
47664.234   -0.482108500287    4.542199199165    0.6880    2.7661   0.235   15
48509.247    2.594970354540    0.692297998128    1.5750    3.7812   0.711    8
48853.258   -2.707181108593   -4.111401599971    1.0400    3.6812   0.234   12
49254.416    0.004175691945    1.354500000161    0.4513    2.0578  -0.217   27
50162.252    0.816048231983   -3.261600001281    1.0712    4.7470  -0.930    5
50246.252   -0.035216637360   -1.663200000124    0.5414    0.8302  -0.168    5
50400.252   -0.117432150162    0.695800799377    0.3092    0.5764  -0.090   11
50458.831    0.011638726025   -1.358499600812    0.1684    0.2976  -0.104   97
50470.253    0.311256887757   -1.002301202035    0.4837    0.6163   0.053    7
50540.253    0.454949301555    0.243197999339    0.4221    0.6456   0.342    5
50638.253   -0.206512424795    0.604998000497    0.4406    0.9839  -0.322    5
50694.253   -0.049390743055   -0.416199599584    0.3240    0.7933  -0.109    9
50750.253   -0.786503679660    0.232200000028    0.4910    1.3704  -0.660    8
50785.252   -0.280820728612    2.069701200824    0.4148    1.4570  -0.652    8
50841.252    1.313824177609   -3.302100001434    0.8819    2.0118  -0.604    4
50919.324    0.438984653942    1.656298800512    0.0841    0.2352  -0.321  153
51009.252    0.429287106603   -0.903499201854    0.5985    0.9759  -0.580    8
51051.252    0.192632264363   -1.816199999993    0.7641    1.7421  -0.613    6
51254.251    0.279177159326    1.089298798362    0.3560    1.0730  -0.346    4
51366.251    0.596403741519    0.148201198513    0.4426    0.6231  -0.058    7
51485.250   -0.074010897980    0.215398799597    0.3849    0.8108  -0.327    9
51646.252    0.077441752172    0.725299199900    0.5033    0.8584  -0.322    4
51751.250    0.192184628883    0.366299998333    0.4888    0.7308  -0.190    5
52488.270   -5.720992316943    6.282698399929    3.2751    2.6680  -0.967    4
52530.270    0.022528950159    0.730699200346    0.1846    0.4715  -0.056   27
52558.270    0.135187339691   -0.635900401136    0.5222    0.6748  -0.373   10
52593.272   -0.203529409646    0.311000399833    0.1750    0.5468  -0.130   20
52740.270   -0.404219112636    1.004101198987    0.3154    0.6679  -0.297    8
52746.272    0.133991405885   -0.412498799918    0.1759    0.2930   0.106   31
52753.244   -0.446597917665    0.583397998710    0.6516    0.7554  -0.020    3
